region,title,detail_url,period,agency,contact,type,apply_url,신청기간,전화문의,신청방법,접수기관,지원형태,사업근거,지원대상,지원내용,문의처
서울특별시/강서구,미혼모·부 양육지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/315000000114?administOrgCd=ALL,상시신청,주민센터,출산보육과 / 0226006494,현금,javascript://,상시신청,출산보육과 (0226006494),서울 강서구 내 거주지 관할 동주민센터에서 방문접수,주민센터,현금,[자치법규] 서울특별시 강서구 한부모가족 지원에 관한 조례(제6조),"지원대상
※ 지원대상 공통기준 : 서울 강서구에 주민등록을 두고 혼인 기록 및 실제 사실혼 관계가 없는 자
① 미혼모·부 아동양육비 지원
 - 지원대상 : 한부모가족증명서 발급대상자 가구(중위소득 63% 이하) 중 미혼모 또는 미혼부가 양육하는 만 5세 이하 아동
 ※ 청소년 미혼모부는 중위소득 72% 이하까지 지원대상이며, 기초생활수급(생계급여) 중복 여부 관계없이 지원
 - 지원내용 : 만 5세 이하 아동 1인당 월 10만원 지급(※ 신청일이 속하는 달부터 만6세 생일 도래하기 전 달까지)
 - 지 급 일 : 매월 25일경

② 미혼모·부 냉·난방비 지원
 - 지원대상 : 한부모가족증명서 발급대상자 가구(중위소득 63%이하) 중 미혼모 또는 미혼부가 만5세 이하 아동을 양육하는 가구
 ※ 청소년 미혼모부는 중위소득 72% 이하까지 지원대상이며, 기초생활수급(생계급여) 중복 여부 관계없이 지원하되, 에너지 바우처 지원대상자는 제외
 - 지원내용 : 동하절기 각 2개월간 월 25,000원 지급
 - 지 급 일 : 7~8월 25일경 / 11~12월 25일경

③ 미혼모 임신출산 의료비 지원
 - 지원대상 : 만 20세 이상 미혼모(※ 소득 제한기준 없음)
 - 지원내용 : 임신 1회당 산전, 산후 진료비 및 분만비, 출산일로부터 1년 이내 출산 아동에 대한 진료비 최대 50만원 지급
※ 단, 국민행복카드 바우처 전액(100만원) 소진 증빙시 지원
※ 해당 대상자가 중위소득 72% 이하인 경우(의료급여 수급자 제외) 국민행복카드 전액 소진하고, 서울시 한부모가족지원센터 출산양육 병원비 지원 20만원까지 전액 소진 증빙시 지원
중복혜택 안돼요
에너지바우처","지원내용
※ 지원대상 공통기준 : 서울 강서구에 주민등록을 두고 혼인 기록 및 실제 사실혼 관계가 없는 자
① 미혼모·부 아동양육비 지원
 - 지원대상 : 한부모가족증명서 발급대상자 가구(중위소득 63% 이하) 중 미혼모 또는 미혼부가 양육하는 만 5세 이하 아동
 ※ 청소년 미혼모부는 중위소득 72% 이하까지 지원대상이며, 기초생활수급(생계급여) 중복 여부 관계없이 지원
 - 지원내용 : 만 5세 이하 아동 1인당 월 10만원 지급(※ 신청일이 속하는 달부터 만6세 생일 도래하기 전 달까지)
 - 지 급 일 : 매월 25일경

② 미혼모·부 냉난방비 지원
 - 지원대상 : 한부모가족증명서 발급대상자 가구(중위소득 63%이하) 중 미혼모 또는 미혼부가 만5세 이하 아동을 양육하는 가구에 지원
 ※ 청소년 미혼모부는 중위소득 72% 이하까지 지원대상이며, 기초생활수급(생계급여) 중복 여부 관계없이 지원하되, 에너지 바우처 지원대상자는 제외
 - 지원내용 : 동하절기 각 2개월간 월 25,000원 지급
 - 지 급 일 : 7~8월 25일경 / 11~12월 25일경

③ 미혼모·부 임신출산 의료비 지원
 - 지원대상 : 만 20세 이상 미혼모(※ 소득 제한기준 없음)
 - 지원내용 : 임신 1회당 산전, 산후 진료비 및 분만비, 출산일로부터 1년 이내 출산 아동에 대한 진료비 최대 50만원 지급
 ※ 단, 국민행복카드 바우처 전액(100만원) 소진 증빙시 지원
 ※ 해당 대상자가 중위소득 72% 이하인 경우(의료급여 수급자 제외) 국민행복카드 전액 소진하고, 서울시 한부모가족지원센터 출산양육 병원비 지원 20만원까지
 전액 소진 증빙시 지원",출산보육과 (☎0226006494)
공공기관,무료 소송대리 서비스(미혼모·부),https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B27000100043?administOrgCd=ALL,상시신청,대한법률구조공단,(국번없이)132 법률상담 콜센타 / 132,기타(상담),https://www.gov.kr/portal/rcvfvrSvc/svcFind/www.klac.or.kr,상시신청,(국번없이)132 법률상담 콜센타 (132),"○ 온라인 신청
 - 대한법률구조공단 홈페이지(www.klac.or.kr)

○ 방문 신청
 - 예약 후 방문하여 상담, 신청
 - 지부, 출장소, 지소

○ 기타
 - 전화(국번없이 132)
 - 카카오톡 '친구찾기'에서 '대한법률구조공단' 검색",대한법률구조공단,기타(상담),[정관/약관 등 기타] 관련 근거 있음,"지원대상
○ 미혼모·부
 - 건강보험료 본인부담금 합산액이 기준중위소득 125% 이하인 자","지원내용
○ 사회·경제적 약자에 대한 법률구조서비스 제공으로 법률복지증진

○ 무료 법률상담

○ 무료 소송대리
 - 출생증명서 등이 없는 경우(「가족관계의 등록 등에 관한 법률」제44조의 2) 또는 친생자 출생신고를 위한 확인 신청사건(동법 제57조)",(국번없이)132 법률상담 콜센타 (☎132)
강원특별자치도/강릉시,미혼모 의료비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/420000000161?administOrgCd=ALL,상시신청,보건소,강릉시보건소 건강증진과 / 033-660-2774,현금,,상시신청,강릉시보건소 건강증진과 (033-660-2774),"○ 방문 신청
 - 보건소 방문 신청
 - 구비서류
 · 공통 : 신분증, 혼인관계증명서(상세), 가족관계증명서(상세), 등본
 · 산전관리비 : 임신확인증, 진료비영수증, 상세내역서, 통장사본
 · 분만비 : 출생증명서, 진료비영수증, 상세내역서, 통장사본",보건소,현금,"[법령] 저출산ㆍ고령사회기본법(제8조) [자치법규] 강릉시 인구늘리기 지원에 관한 조례(제4조조, 제5항)","지원대상
○ 미혼모 의료비지원
 - 혼인관계 사실 및 사실혼 관계가 없고, 소득인정액이 기준중위소득 120% 이하인 미혼모
중복혜택 안돼요
청소년 산모 의료비 지원 사업 수혜자","지원내용
○ 미혼모 의료비지원
 - 지원대상 : 주민등록 등본상 강릉시 거주 및 혼인관계 사실이 없는 미혼모(소득인정액이 기준중위소득 120% 이하)
 - 지원내용 : 산전관리비 최대 20만원 지원, 자연분만비 최대 40만원 지원, 제왕절개비 최대 80만원 지원
 - 지원형태 : 대상자에게 현금으로 의료비 지원",강릉시보건소 건강증진과 (☎033-660-2774)
경상남도/거제시,신혼부부·미혼모부 주택전세자금 대출이자 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/537000000110?administOrgCd=ALL,당해연도 모집공고 참조(5월 예상),주민센터,거제시 건축과 / 055-639-4677,현금,,당해연도 모집공고 참조(5월 예상),거제시 건축과 (055-639-4677),"○ 방문 신청
 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청",주민센터,현금,[법령] 주거기본법(제3조) [자치법규] 거제시 인구증가 지원에 관한 조례(제6조),"지원대상
○ 기준중위소득 180% 이하 무주택 신혼부부, 미혼모부 세대","지원내용
○ 신혼부부(혼인신고일 기준 7년 이내), 미혼모부(만 13세 이하 자녀 양육) 세대 중 기준중위소득 180% 이하 무주택 가구
 - 주택전세자금 대출 잔액의 1.5% 지원 (최대 100만원 까지)
 자녀가 있는 경우, 자녀 1명당 0.5% 가산 지원 (최대 150만 원 까지)",거제시 건축과 (☎055-639-4677)
서울특별시/동작구,동작구 미혼모부 자립지원비,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/319000000129?administOrgCd=ALL,상시신청,주민센터,동작구청 영유아보육과 / 02-820-9724,현금,,상시신청,동작구청 영유아보육과 (02-820-9724),"○ 방문 신청 
 - 주민센터 : 관할 동주민센터 방문 신청
 - 구비서류 : 신청서, 통장사본, 가족관계증명서(자녀,상세)혼인증명서, 주민등록초본(공용발급), 한부모가족증명서(공용발급) 등",주민센터,현금,[자치법규] 서울특별시 동작구 미혼모·부 지원에 관한 조례,"지원대상
○ 동작구에 거주하는 법정한부모가족 중 미혼모부
중복혜택 안돼요
고용노동부 내일배움카드, 여성가족부 청소년 한부모 검정고시 학습지원사업","지원내용
○ 자립지원비 최대 1,200천원/년 지급(5년간 6천만원 한도 지원)
 ※ 고용노동부 내일배움카드 소진 시 지급,
 ※ 여성가족부 청소년 한부모 검정고시 학습지원사업과 중복지원 제외",동작구청 영유아보육과 (☎02-820-9724)
서울특별시/동작구,동작구 미혼모부 아동양육비 등 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/319000000111?administOrgCd=ALL,상시신청,주민센터,동작구청 영유아보육과 / 02-820-9724,현금,,상시신청,동작구청 영유아보육과 (02-820-9724),"○ 방문 신청 
 - 주민센터 : 관할 동주민센터 방문 신청
 - 구비서류 : 신청서, 통장사본, 가족관계증명서(자녀,상세)혼인증명서, 주민등록초본, 한부모가족증명서 등",주민센터,현금,[자치법규] 서울특별시 동작구 미혼모·부 지원에 관한 조례,"지원대상
○ 만 5세 이하 아동을 양육하는 미혼모(부)자
 - 동작구에 6개월 이상 주민등록을 한 실거주자","지원내용
○ 만 5세 이하 아동 1인당 월 10만원 아동양육비 지급

○ 만 5세 이하 아동을 양육하는 미혼모(부)자 가구에 냉난방비 연 10만원 지원
 - 25,000원 씩 4회(1월, 2월, 8월, 9월) 지원함

※에너지바우처대상 미지원",동작구청 영유아보육과 (☎02-820-9724)
서울특별시/마포구,미혼모부 양육비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/313000000103?administOrgCd=ALL,상시신청,주민센터,가족행복지원과 / 02-3153-8932,현금,,상시신청,가족행복지원과 (02-3153-8932),"○ 방문 신청
 - 주민센터 : 관할 동주민센터 방문신청",주민센터,현금,[자치법규] 서울특별시 마포구 한부모가족 지원에 관한 조례,"지원대상
○ 마포구에 1년이상 계속하여 주민등록을 두고 실제거주(미혼모자가족복지시설입소자포함)

○ 한부모가족지원법 상의 한부모가족증명서 발급대상자

○ 만5세이하 아동을 양육하는자","지원내용
○ 만 5세 이하 아동을 양육하는 미혼모부에 아동양육비 월 10만원 지원",가족행복지원과 (☎02-3153-8932)
서울특별시/성동구,미혼모.미혼부 냉난방비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/303000000307?administOrgCd=ALL,상시신청,,여성가족과 / 02-2286-6840,현금,,상시신청,여성가족과 (02-2286-6840),"해당 서비스는 신청없이 자격대상자에게 자동적으로 제공되나, 관할 동주민센터에 신청하시면 지원이 가능합니다.",,현금,"[자치법규] 서울특별시 성동구 미혼모·미혼부 지원에 관한 조례(제5조, 제7항)","지원대상
*당해년도 한부모가족 복지급여 지급기준에 적합한 성동구 거주 미혼모.미혼부 한부모가족
중복혜택 안돼요
기초생활수급자 월동대책비 지원대상 제외","지원내용
*미혼모,미혼부 냉난방비 지원
 - 지원대상: 저소득 한부모가족 중 성동구에 6개월 이상 거주한 미혼모,미혼부 가구
 - 지원내용: 1월~2월, 7월~8월 / 월별 2만5천원 지원",여성가족과 (☎02-2286-6840)
경상남도/사천시,미혼한부모가족 자활 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/534000000136?administOrgCd=ALL,상시신청,주민센터,한채원 / 055-831-2670,현금,,상시신청,한채원 (055-831-2670),"○ 미혼모 산전산후 요양비: 관할 읍면동 방문 신청 
○ 미혼한부모 직업훈련비: 관할 읍면동 방문 신청 
○ 미혼한부모가족 생활보조비: 한부모가정 보장 책정 후 관할 읍면동 방문 신청",주민센터,현금,[법령] 한부모가족지원법,"지원대상
○ 미혼모 산전산후 요양비 지원
 -지원대상 : 출산예정일 4주전, 산후 6개월의 미혼모, 사산한 경우의 미혼모(도내거주 6개월 확인)
 ※ 사산한 경우는 임신 4개월 이상의 경우에 태아가 사망한 경우(낙태 제외)로 미혼모의 요양 등 조치가 필요한 대상
 - 중복지원제외 ※ 소득기준 제한 없음 
 · 청소년산모 의료비 지원 대상자 
 · 미혼모부초기지원 대상자 및 기초생활수급자 해산급여대상자는 차액 지급
 -지원내용
 · 지원금액 : 1인당 1백만
 · 의료비, 출산용품 구입, 산후조리 비용 등 분만 전과 출산 후의 필요한 조치와 보호에 따른 비용 ※ 사회보장적 수혜금 성격으로 영수증 첨부 불필요
○미혼한부모 직업훈련비 지원
 -지원대상 : 기준 중위소득 72%이하 직업훈련을 희망하는 미혼모·부 본인
 - 중복지원제외
 ·청소년한부모 자립지원 촉진수당 수급자
 ·저소득 한부모가족 지원사업 중 직업훈련비 수급자
 -지원기준 : 1인당 연 120만원 범위 내 실비 지급
○미혼한부모가족 생활보조비 지원
 - 지원대상 : 만 18세 미만(만 18세가 되는 생일이 도래하는 달의 전 달까지) 자녀를 둔 기준 중위소득 60% 이하 미혼한부모 가족
 - 중복지원제외 : 해당없음
 - 지원내용 : 자녀 1인당 5만원 정액지원","지원내용
○ 미혼모 산전산후 요양비-출산예정일 4주전, 산후 6개월의 미혼모, 사산한 경우의 미혼모중 의료비 및 출산용품 등 1인당 100만원 
○ 미혼한부모 직업훈련비- 기준 중위소득 72%이하 직업훈련을 희망하는 미혼한부모 본인에게 연간 120만원 이내 실비지원 
○ 미혼한부모가족 생활보조비-기준중위소득 60%이하 만18세 미만 자녀를 둔 미혼한부모 가족에 자녀 1인당 월 5만원 정액 지원",한채원 (☎055-831-2670)
경기도/수원시,미혼모가족복지시설 퇴소자 자립 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/374000000115?administOrgCd=ALL,상시신청,미혼모자가족복지시설 -> 시군구,"여성정책과 / 031-228-2498, 미혼모자가족복지시설 고운뜰 / 031-216-9081",현금,,상시신청,"여성정책과 (031-228-2498), 미혼모자가족복지시설 고운뜰 (031-216-9081)","○ 개인 신청절차 없음
 - 미혼모자가족복지시설→시군 지원신청 
 - 신청기한: 시설퇴소예정일 1개월 전
 - 구비서류: 자립지원금 신청서, 계획서, 확약서, 자격입증서류(자격증,취업 등), 지출증빙서류(임대차계약서, 영수증 등), 통장사본",미혼모자가족복지시설 -> 시군구,현금,[법령] 한부모가족지원법(제25조) [법령] 한부모가족지원법 시행령(제18조),"지원대상
○ 미혼모자가족복지시설(공동생활지원형) 1년 6개월이상 입소 세대 : 아래 3가지 요건 중 하나를 충족해야 함
 - 입소기간 중 직업교육 후 자격증 취득(수료)자
 - 취(창)업하여 3개월 이상 안정적인 생활을 하는 자
 - 입소기간 중 중·고등·대학교를 졸업한 자","지원내용
○ 미혼모자가족복지시설(공동생활지원형) 1년 6개월 이상 입소 및 퇴소 후 관내거주 예정인 세대에게 퇴소자 자립지원금 1,500만원 지급

○ 지원조건 : 입소기간 중 직업교육 후 자격증 취득자 또는 취·창업하여 3개월 이상 안정적인 생활을 하는 자 또는 입소기간 중 중·고등·대학교를 졸업한 자","여성정책과 (☎031-228-2498)
미혼모자가족복지시설 고운뜰 (☎031-216-9081)"
