region,title,detail_url,period,agency,contact,type,apply_url,신청기간,전화문의,신청방법,접수기관,지원형태,사업근거,지원대상,지원내용,문의처
중앙부처,여성청소년 생리용품 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000050?administOrgCd=ALL,상시신청,주민센터,"(바우처 관련) 한국사회보장정보원 / 1566-3232, (국민행복카드 관련) BC카드 / 1899-4651, (국민행복카드 관련) 삼성카드 / 1566-3336, (국민행복카드 관련) 롯데카드 / 1899-4282, (국민행복카드 관련) 신한카드 / 1544-8868, (국민행복카드 관련) 국민카드 / 1599-7900",이용권,http://online.bokjiro.go.kr/,상시신청,"(바우처 관련) 한국사회보장정보원 (1566-3232), (국민행복카드 관련) BC카드 (1899-4651), (국민행복카드 관련) 삼성카드 (1566-3336), (국민행복카드 관련) 롯데카드 (1899-4282), (국민행복카드 관련) 신한카드 (1544-8868), (국민행복카드 관련) 국민카드 (1599-7900)","- 방문 : 청소년의 주민등록상 주소지 읍·면·동 행정복지센터 방문신청. 
다만, 주민등록상 주소지와 실제 거주지가 상이한 경우 실제 거주지에서도 신청 가능.
(이 경우에도 보장기관은 주민등록상 주소지의 지자체)
* 대리인 신청 : 신분증, 주양육자임을 확인할 수 있는 서류(가족관계증명서 등) 지참

- 온라인 : 복지로 누리집(http://www.bokjiro.go.kr), 복지로 어플",주민센터,이용권,"[법령] 청소년복지 지원법(제5조, 제3항)","지원대상
○ 자격기준을 충족하는 9세 ~ 24세 여성청소년
중복혜택 안돼요
각 지자체에서 지원대상 등을 확대하여 별도로 시행하는 여성청소년 생리용품 지원 사업과 중복수혜 불가
선정기준
○ 2025년 기준 9~24세 여성청소년
자격기준 :
- ｢국민기초생활보장법｣ 에 따른 생계·의료·주거·교육 급여 수급자
- ｢국민기초생활보장법｣ 에 따른 차상위계층
- ｢한부모가족지원법｣ 제5조 및 제5조의2에 따른 지원대상자","지원내용
○ 생리용품을 구입할 수 있는바우처 포인트 지원 (2025년 기준 월 14,000원, 연 최대 168천원)
-신청한 월을 기준으로 상·하반기 나누어 6개월분 일괄지원, 단 최초 신청 시에는 신청한 달부터 계산하여 지원
 (예: 2월에 신청하면 상반기 5개월분(2월~6월) 지급하고, 7월에 하반기 6개월분 지급)
- 지원된 바우처는 해당연도 12월 31일까지 사용하여야 하며, 잔여 바우처는 익년도 1월 1일에 전액 소멸
- 자격 변동으로 바우처 지원 대상에서 제외되는 경우 사용여부와 관계없이 잔여 바우처 전액 소멸","(바우처 관련) 한국사회보장정보원 (☎1566-3232)
(국민행복카드 관련) BC카드 (☎1899-4651)
(국민행복카드 관련) 삼성카드 (☎1566-3336)
(국민행복카드 관련) 롯데카드 (☎1899-4282)
(국민행복카드 관련) 신한카드 (☎1544-8868)
(국민행복카드 관련) 국민카드 (☎1599-7900)"
중앙부처,여성 창업 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/WII000000860?administOrgCd=ALL,분야별 공고에 따라 상이,(재)여성기업종합지원센터,"(재)여성기업종합지원센터(여성창업보육센터 문의) / 02-369-0993, (재)여성기업종합지원센터(여성창업액셀러레이팅 문의) / 02-369-0943","기타(교육),기타(상담),기타,시설이용",http://www.wbiz.or.kr/,분야별 공고에 따라 상이,"(재)여성기업종합지원센터(여성창업보육센터 문의) (02-369-0993), (재)여성기업종합지원센터(여성창업액셀러레이팅 문의) (02-369-0943)","ㅇ (여성창업보육센터) 전국 18곳 창업공간에 공실 발생 시, 수시로 여성기업종합정보포털(www.wbiz.or.kr)에 공고

 * 해당 지역의 여성기업종합지원센터에 제출서류 제출

ㅇ (여성창업액셀러레이팅) 여성기업종합정보포털(www.wbiz.or.kr) 공고문 확인 후 안내에 따라 신청",(재)여성기업종합지원센터,"기타(교육), 기타(상담), 기타, 시설이용",[법령] 여성기업지원에 관한 법률(제8조) [법령] 여성기업지원에 관한 법률(제3조) [법령] 여성기업지원에 관한 법률(제11조),"지원대상
○ 여성(예비)창업자
선정기준
○ 여성(예비)창업자","지원내용
여성전용 창업보육시설 등을 갖춘 여성기업종합지원센터 운영, 여성창업 액셀러레이팅(여성창업경진대회 개최 및 사업화 지원, 글로벌 액셀러레이팅)","(재)여성기업종합지원센터(여성창업보육센터 문의) (☎02-369-0993)
(재)여성기업종합지원센터(여성창업액셀러레이팅 문의) (☎02-369-0943)"
중앙부처,여성장애인 교육지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/GMW000000120?administOrgCd=ALL,연중신청가능,보건복지부콜센터,해당지역 시군구청 / 126,기타(교육),,연중신청가능,해당지역 시군구청 (126),읍면동 및 사업 수행기관 방문 신청,보건복지부콜센터,기타(교육),[법령] 장애인복지법,"지원대상
○ 등록 여성장애인
선정기준
○ 장애인복지법 제32조(장애인 등록)에 의한 등록 여성장애인","지원내용
○ 역량강화교육 프로그램, 상담·사례관리, 자조모임
 - (상담·사례관리) 상주하는 전문 상담가에 의해 운영
 * 종합상담, 동료상담, 생활법률상담, 인권상담, 성폭력상담, 사례관리 

 - (역량강화교육 사업 프로그램) 교육, 건강, 사회, 문화, 경제 영역
 * 기초교육에서 사회참여 역량강화교육을 포괄하는 다양한 프로그램 구성

 - (자조모임) 회칙에 따라 이용 여성장애인의 회비를 징수하여 운영되는 모임 
 * 등산모임, 문화탐방모임, 여행모임, 사회봉사모임

 - (지역사회 연계) 사업수행기관 및 지역사회 관련 기관과의 연계",해당지역 시군구청 (☎126)
경기도,여성청소년 생리용품 보편지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000180?administOrgCd=ALL,2025.11.14.까지,주민센터,경기도 청소년과 / 031-8008-2558,이용권,https://gg24.gg.go.kr/,2025.11.14.까지,경기도 청소년과 (031-8008-2558),"○ 온라인 신청 : https://gg24.gg.go.kr
 - 1차
 · 화성, 평택, 시흥, 오산, 의정부, 양주, 구리, 포천, 동두천, 가평, 연천 : 3.4.(화) ~ 4.11.(금)
 · 안산, 안양, 김포, 광주, 광명, 하남, 군포, 이천, 안성, 의왕, 양평, 여주, 과천 : 3.6.(목) ~ 4.11.(금)
 - 2차
 · 안산, 안양, 김포, 광주, 광명, 하남, 군포, 이천, 안성, 의왕, 양평, 여주, 과천 : 6.30.(월)~8.1.(금)
 · 화성, 평택, 시흥, 오산, 의정부, 양주, 구리, 포천, 동두천, 가평, 연천 : 7.3.(목)~8.1.(금)
 
○ 방문(오프라인) 신청(2024.3.11.~11.15.까지)
 - 행정복지센터 : 주소지 관할 읍면동 행정복지센터에 방문 신청",주민센터,이용권,[법령] 청소년복지 지원법,"지원대상
사업 시행 시군*에 ①주민등록, ②외국인등록, ③국내거소신고를 한 11세~18세 여성청소년

 * 화성, 안산, 평택, 안양, 시흥, 김포, 의정부, 광주, 하남, 광명, 군포, 양주, 오산, 이천, 안성, 구리, 의왕, 포천, 양평, 여주, 동두천, 과천, 가평, 연천
중복혜택 안돼요
여성가족부 저소득층 대상 생리용품 바우처 지원 사업과 중복 수혜 불가","지원내용
사업시행 시군 11~18세 여성청소년에게 생리용품 구매비용을 지역화폐로 지급(월 14,000원)",경기도 청소년과 (☎031-8008-2558)
전라남도,여성농업인 행복바우처 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000145?administOrgCd=ALL,접수기관별상이,주민센터,"전남도청 농업정책과 / 061-286-6243, 목포시 / 061-270-3421, 여수시 / 061-659-4406, 순천시 / 061-749-8670, 나주시 / 061-339-7433, 광양시 / 061-797-2372, 담양군 / 061-380-2714, 곡성군 / 061-360-8342, 구례군 / 061-780-2403, 고흥군 / 061-830-5371, 보성군 / 061-850-5383, 화순군 / 061-379-3623, 장흥군 / 061-860-5976, 강진군 / 061-430-3105, 해남군 / 061-530-5357, 영암군 / 061-470-2813, 무안군 / 061-450-4014, 함평군 / 061-320-1853, 영광군 / 061-350-5373, 장성군 / 061-390-8407, 완도군 / 061-550-5712, 진도군 / 061-540-3509, 신안군 / 061-240-8408",이용권,,접수기관 별 상이,"전남도청 농업정책과 (061-286-6243), 목포시 (061-270-3421), 여수시 (061-659-4406), 순천시 (061-749-8670), 나주시 (061-339-7433), 광양시 (061-797-2372), 담양군 (061-380-2714), 곡성군 (061-360-8342), 구례군 (061-780-2403), 고흥군 (061-830-5371), 보성군 (061-850-5383), 화순군 (061-379-3623), 장흥군 (061-860-5976), 강진군 (061-430-3105), 해남군 (061-530-5357), 영암군 (061-470-2813), 무안군 (061-450-4014), 함평군 (061-320-1853), 영광군 (061-350-5373), 장성군 (061-390-8407), 완도군 (061-550-5712), 진도군 (061-540-3509), 신안군 (061-240-8408)","○ 방문 신청
 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청
※ 2024년 현재 전라남도 진도군만 온라인신청 가능",주민센터,이용권,[자치법규] 전라남도 여성농어업인 육성 및 지원 조례,"지원대상
○ 도내에 1년 이상 주소를 두고 실제 농어업에 종사하는 20세 이상 75세 이하 여성농어업인","지원내용
○ 도내에 1년 이상 주소를 두고 실제 농어업에 종사하는 20세 이상 75세 이하 여성농어업인에게 연간 20만원권 바우처 카드 지원","전남도청 농업정책과 (☎061-286-6243)
목포시 (☎061-270-3421)
여수시 (☎061-659-4406)
순천시 (☎061-749-8670)
나주시 (☎061-339-7433)
광양시 (☎061-797-2372)
담양군 (☎061-380-2714)
곡성군 (☎061-360-8342)
구례군 (☎061-780-2403)
고흥군 (☎061-830-5371)
보성군 (☎061-850-5383)
화순군 (☎061-379-3623)
장흥군 (☎061-860-5976)
강진군 (☎061-430-3105)
해남군 (☎061-530-5357)
영암군 (☎061-470-2813)
무안군 (☎061-450-4014)
함평군 (☎061-320-1853)
영광군 (☎061-350-5373)
장성군 (☎061-390-8407)
완도군 (☎061-550-5712)
진도군 (☎061-540-3509)
신안군 (☎061-240-8408)"
중앙부처,여성장애인 출산비용지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/GMW000000260?administOrgCd=ALL,상시신청,주민센터,보건복지상담센터 / 129,현금,javascript://,상시신청,보건복지상담센터 (129),"읍면동 주민센터에 방문 또는 온라인(정부24, 복지로) 신청",주민센터,현금,[법령] 장애인복지법(제7조) [법령] 장애인복지법(제9조),"지원대상
○ 장애인복지법 제32조(장애인 등록)에 의한 등록 여성장애인 중 출산 및 유·사산한 자
선정기준
○ 출산한 등록 여성장애인

○ 임신기간 4개월 이상의 태아를 유산 사산한 자
 * 인공 임신중절 수술(모자보건법 제14조제1항의 경우는 제외)은 지원 불가","지원내용
○ 태아 1인 기준 120만원 지원",보건복지상담센터 (☎129)
중앙부처,여성 새로 일하기 센터 운영 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/GEF000000070?administOrgCd=ALL,접수기관별상이,전국 여성새로일하기센터,전국 여성새로일하기센터 / 1544-1199,서비스(일자리),,접수기관 별 상이,전국 여성새로일하기센터 (1544-1199),새일센터 취업상담사와 전화 상담 후 새일센터 방문을 통해 구직 신청,전국 여성새로일하기센터,서비스(일자리),[법령] 여성의 경제활동 촉진과 경력단절 예방법(제13조),"지원대상
사업 지원 대상: 법정 인력 및 시설을 갖춘 비영리법인 또는 단체로써 시도의 추천을 통해 여성가족부 ·고용노동부 장관이 지정한 여성새로일하기센터 
최종 사업 수혜자: 재취업을 희망하는 경력단절여성 등
선정기준
사업 지원 대상: 법정 인력 및 시설을 갖춘 비영리법인 또는 단체로써 시도의 추천을 통해 여성가족부 ·고용노동부 장관이 지정한 여성새로일하기센터 
최종 사업 수혜자: 재취업을 희망하는 경력단절여성 등","지원내용
○ 여성 새로 일하기 센터에서 구직자 1:1 상담 후 적합한 취업 지원 서비스 연계",전국 여성새로일하기센터 (☎1544-1199)
경상남도,여성농업인 바우처 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001116?administOrgCd=ALL,2025.02.10~2025.03.14.,주민센터,"경상남도 / 055-211-6233, 창원시 / 055-225-5434, 진주시 / 055-749-6139, 통영시 / 055-650-6213, 사천시 / 055-831-3771, 김해시 / 055-350-4052, 밀양시 / 055-359-7122, 거제시 / 055-639-6373, 양산시 / 055-392-5364, 의령군 / 055-570-4134, 함안군 / 055-580-4413, 창녕군 / 055-530-6084, 고성군 / 055-670-4843, 남해군 / 055-860-3949, 하동군 / 055-880-2414, 산청군 / 055-970-7853, 함양군 / 055-960-8124, 거창군 / 055-940-8183, 합천군 / 055-930-3656",이용권,,2025.02.10~2025.03.14.,"경상남도 (055-211-6233), 창원시 (055-225-5434), 진주시 (055-749-6139), 통영시 (055-650-6213), 사천시 (055-831-3771), 김해시 (055-350-4052), 밀양시 (055-359-7122), 거제시 (055-639-6373), 양산시 (055-392-5364), 의령군 (055-570-4134), 함안군 (055-580-4413), 창녕군 (055-530-6084), 고성군 (055-670-4843), 남해군 (055-860-3949), 하동군 (055-880-2414), 산청군 (055-970-7853), 함양군 (055-960-8124), 거창군 (055-940-8183), 합천군 (055-930-3656)","- 여성농업인이 신청서를 작성하여 읍면동장에게 제출 <별지 1호 서식>
 -【읍면동】읍면동 담당자는 전산확인(행정정보공동이용 확인 등)을 통해 신청인 구비서류를 최소화, 신청인이 행정정보공동이용 미동의시는 신청인이 관련서류를 구비하여야 함",주민센터,이용권,[법령] 여성농어업인 육성법(제11조) [자치법규] 경상남도 여성농어업인 육성 지원 조례(제13조),"지원대상
❍ 도내 농촌지역에 거주하면서 영농에 종사하는 여성농업인으로 사업 시행연도 1. 1일 기준 20세 이상 ~ 75세 미만인 자(1950.01.01.~2005.12.31.)
 - 신청 전년도 1월 1일부터 신청일까지 계속하여 경상남도 농촌지역에 주민등록이 되어 있는 사람
❍ 농업경영체 등록된 여성농업인(경영주, 공동경영주, 경영주 외 농업인)
중복혜택 안돼요
여성어업인 바우처 지원","지원내용
1인 연간 지원액 : 20만원
여성농업인의 건강증진 및 문화·복지활동을 위한 바우처카드 발급 지원","경상남도 (☎055-211-6233)
창원시 (☎055-225-5434)
진주시 (☎055-749-6139)
통영시 (☎055-650-6213)
사천시 (☎055-831-3771)
김해시 (☎055-350-4052)
밀양시 (☎055-359-7122)
거제시 (☎055-639-6373)
양산시 (☎055-392-5364)
의령군 (☎055-570-4134)
함안군 (☎055-580-4413)
창녕군 (☎055-530-6084)
고성군 (☎055-670-4843)
남해군 (☎055-860-3949)
하동군 (☎055-880-2414)
산청군 (☎055-970-7853)
함양군 (☎055-960-8124)
거창군 (☎055-940-8183)
합천군 (☎055-930-3656)"
중앙부처,여성기업확인서 출력,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142100000009?administOrgCd=ALL,수시,중소기업유통센터,"[smpp시스템 관련]중소기업유통센터 공공구매지원센터 / 042-712-5631, [여성기업확인서 관련]여성경제인협회 / 02-2038-8953",기타,http://www.smpp.go.kr/,수시,"[smpp시스템 관련]중소기업유통센터 공공구매지원센터 (042-712-5631), [여성기업확인서 관련]여성경제인협회 (02-2038-8953)",웹사이트 내 신청,중소기업유통센터,기타,"[법령] 중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령(제25조, 제1항)","지원대상
○ 여성기업확인서 소지자
 - 1억원 이하 공공구매 시 여성기업임을 확인하는 서류로서 공공구매종합정보망(SMPP)에 등록해야 출력 서비스됨
선정기준
○ 여성기업확인요령
 - 여성기업법에 의한 여성 대표자가 실질적으로 경영하는지를 현장실태조사하여 확인서를 발급","지원내용
○ 여성기업확인서 출력 서비스 
 - 해당 중소기업이 여성기업임을 증명하는 확인서를 출력함

○ 여성기업을 대상으로 1억원 이하의 수의계약이 가능, 경쟁제품 등의 입찰에 의한 낙찰자 결정 시 가점 부여","[smpp시스템 관련]중소기업유통센터 공공구매지원센터 (☎042-712-5631)
[여성기업확인서 관련]여성경제인협회 (☎02-2038-8953)"
중앙부처,경력단절 여성과학기술인 복귀 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/PTR000052170?administOrgCd=ALL,홈페이지(www.wbridge.or.kr) 참고,한국여성과학기술인육성재단,한국여성과학기술인육성재단 / 02-6411-1010,서비스(일자리),http://www.wbridge.or.kr/,홈페이지(www.wbridge.or.kr) 참고,한국여성과학기술인육성재단 (02-6411-1010),"○ 온라인 신청
○ 신청 및 접수 → 신청자격 평가 → 서비스 실시",한국여성과학기술인육성재단,서비스(일자리),"[법령] 여성과학기술인 육성 및 지원에 관한 법률(제10조, 제1항) [법령] 여성과학기술인 육성 및 지원에 관한 법률(제13조, 제1항)","지원대상
○ 개인
 - 과학기술 분야에 취업하였으나, 임신, 출산, 육아, 가족 구성원 돌봄 등의 이유로 경력이 단절된 여성과학기술인
 - 학위 취득 후, 임신, 출산, 육아, 가족 구성원 돌봄 등의 이유로 미취업 중인 여성과학기술인
 - 이공계 학사이상 학위 소지자(학사 학위자의 경우, 6개월 이상 경력이 있는 자)

○ 기관
 - 경력단절 여성과학기술인을 활용하고자 하는 기관
 - 과학기술 분야 연구기관 및 대학, 민간기업 연구소
선정기준
○ 개인
 - 이공계 학위 소지 또는 연구개발 관련 경력 보유한 여성
 - 경력단절 사유 및 현황, 향후 경력개발 계획, 기존 경력 등을 평가하여 60점 이상 획득한 자

○ 기관
 - 과학기술 분야 연구기관 및 대학, 민간기업 연구소
 - 복귀 여성인력에 기준연봉 3,000만원 이상 지급 가능한 기관
 - 근무환경, 재무건전성, 연구개발현황 등을 평가하여 60점 이상 획득한 기관","지원내용
○ 지원내용
 - 복귀 인력의 연구비 지원(정부 지원금 2천2백만 원 내외)
 - 경력단절 여성과학기술인의 연구역량 강화 및 경력개발을 위한 교육 멘토링

○ 지원 기간 : 최대 3년(12개월 단위로 연차평가 실시하여 계속지원 여부 평가)",한국여성과학기술인육성재단 (☎02-6411-1010)
중앙부처,여성 벤처 활성화 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/142000000078?administOrgCd=ALL,사업공고에 따름 (상기 일정은 사정에 따라 변동될 수 있음을 양해바랍니다),(사)한국여성벤처협회,(사)한국여성벤처협회 / 02-3440-7469,서비스(일자리),http://www.k-startup.go.kr/,사업공고에 따름 (상기 일정은 사정에 따라 변동될 수 있음을 양해바랍니다),(사)한국여성벤처협회 (02-3440-7469),온라인 신청,(사)한국여성벤처협회,서비스(일자리),[법령] 여성기업지원에 관한 법률(제1조) [법령] 벤처기업육성에 관한 특별법(제1조) [법령] 중소기업기본법(제5조),"지원대상
여성 예비창업자 및 여성벤처기업
선정기준
우수 아이디어를 보유하고 있는 여성 예비 창업자","지원내용
교육, 멘토링, 사업화 지원 등",(사)한국여성벤처협회 (☎02-3440-7469)
