지역,시설명,전화번호
서울,구세군두리홈,02-363-4471
,애란원,02-393-4725
,마음자리,02-2691-4365
,마포애란원,02-711-4725
,도담하우스,02-449-8893
,애란세움터(비양육모),02-703-4406
부산,마리아모성원,051-253-7534
,성현원,051-545-9272
대구,가톨릭푸름터,053-764-8537
인천,인천자모원,032-772-0071
광주,엔젤하우스,062-651-8585
대전,대전자모원,042-934-6934
울산,미혼모의집물푸레,052-903-9200
경기,생명의집,031-334-7168
,새싹들의집,031-457-4383
,광명아우름,1600-0152
,희망의집,070-7701-3636
강원,마리아의집,033-262-4617
충남,구세군아름드리,041-568-0691
전북,기쁨의하우스,063-853-9619
전남,성모의집,061-279-8004
경북,누리영타운,054-772-5440
경남,생명터미혼모자의집,055-231-0582
제주,애서원,064-773-2010
,헬로우아지트(비양육모),064-773-2010
