주택 유형(대분류),주택 유형(중분류),순위 및 내용
공공분양,공공분양주택*,신혼부부 특별공급
공공분양,신혼희망타운주택*,"•자녀 나이가 2세 이하일 경우 우선공급
•자녀 나이가 3세 이상 6세 이하일 경우 잔여공급"
공공임대,영구임대,"신혼부부 우선공급*, 일반공급 1순위 (보호대상 한부모가족)"
공공임대,국민임대·장기전세,보호대상 한부모가족 및 신혼부부*우선공급
공공임대,행복주택,"신혼부부, 한부모 계층 물량 내에서 추첨*(산단형 행복주택의 경우, 산업단지근로자 자격충족 시 1순위, 미충족 시 추첨)"
공공임대,통합공공임대*,신혼부부 일반·우선공급
공공임대,분양전환공공임대(5년·10년)*,신혼부부 특별공급
공공임대,기존주택 매입임대,1순위(보호대상 한부모가족)
공공임대,청년 매입임대,1순위(보호대상 한부모가족)
공공임대,신혼·신생아 매입임대,"1순위(보호대상 한부모가족), 2순위(일반 한부모가족, 6세 이하)"
공공임대,다자녀 매입임대,1순위(보호대상 한부모가족)-조손가정 포함
공공임대,기존주택 전세임대,1순위(보호대상 한부모가족)
공공임대,청년 전세임대,1순위(보호대상 한부모가족)
공공임대,신혼·신생아 전세임대,"1순위(보호대상 한부모가족), 2순위(일반 한부모가족, 6세 이하)"
공공임대,다자녀 전세임대,1순위(보호대상 한부모가족)-조손가정 포함
