region,title,detail_url,period,agency,contact,type,apply_url,신청기간,전화문의,신청방법,접수기관,지원형태,사업근거,지원대상,지원내용,문의처
인천광역시,임산부 교통비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/628000000735?administOrgCd=ALL,연중 상시신청,읍면동 행정복지센터,"강화군 사회복지과 / 032-930-3589, 옹진군 사회복지과 / 032-899-2332, 중구 여성보육과 / 032-760-7913, 동구 여성보육과 / 032-770-5756, 미추홀구 보육정책과 / 032-728-6913, 연수구 출산보육과 / 032-749-7733, 남동구 보육정책과 / 032-453-8362, 부평구 여성가족과 / 032-509-5062, 계양구 여성보육과 / 032-450-5983, 서구 가정보육과 / 032-560-3445, 인천시청 영유아정책과 / 032-440-3222, 미추홀콜센터 / 032-120",기타,javascript://,연중 상시신청,"강화군 사회복지과 (032-930-3589), 옹진군 사회복지과 (032-899-2332), 중구 여성보육과 (032-760-7913), 동구 여성보육과 (032-770-5756), 미추홀구 보육정책과 (032-728-6913), 연수구 출산보육과 (032-749-7733), 남동구 보육정책과 (032-453-8362), 부평구 여성가족과 (032-509-5062), 계양구 여성보육과 (032-450-5983), 서구 가정보육과 (032-560-3445), 인천시청 영유아정책과 (032-440-3222), 미추홀콜센터 (032-120)","<지원내용 : 교통비 50만원 포인트 (((((사용기한 1년))))))>
 - 인천e음 택시(인천e음 앱에서 호출필수)
 - 자가용 유류비(전기차 충전비는 불가)
 - 대중교통(안드로이드 폰 사용자만 가능, 아이폰은 불가)

<신청방법>
1. 온라인 및 방문 접수(임산부 본인 온라인 접수 원칙)
 - 온라인 : 맘편한 임신 통합제공 서비스에서 임산부 등록 후 정부 24 신청
 * 온라인 접수 시 임산부 본인 명의 휴대폰으로 신청 및 인천e음 앱에서도 
 임산부 본인 명의 휴대폰 가입이 필수임
 - 방문 : 구비서류 지참 후 주소지 행정복지센터 방문 접수
 * 다문화 외국인 임산부, 청소년 산모 등 본인 명의 휴대폰이 없을 경우
 대리인(남편, 부모)이 방문접수
 (남편 및 부모 명의 핸드폰으로 인천e음 앱에 가입되어 있어야 함.)
2. 신청대상자 : 임신 12주부터 출산일로부터 3개월(90일) 이내 임산부
 - 거주요건(인천시 거주 6개월) 충족인 대상자가 신청가능

* 인천e음 앱 미가입자 및 카드 미소자 등은 지급 시기 지연 가능(2개월 이상 소요 가능)
 - 지급방법 : 군구에 따라 기존 발급한 (비교통) e음 카드에 포인트 지급 (포인트 사용기간 : 1년 /미사용 포인트는 자동소멸)
 1) 미추홀구, 연수구, 부평구, 계양구, 서구(지역e음 기본카드 있음) : 각 지역 e음 카드(교통기능 없는 카드)로 포인트 지급(인천e음 카드로 지급 불가)
 2) 강화군, 옹진군, 중구, 동구, 남동구(지역e음 기본카드 없음) : 인천e음 카드(교통기능 없는 카드)로 포인트 지급(타구 지역e음 카드로 지급 불가)
 * 카드가 없을 경우 신규 카드 발급되며, 신청자 주소지로 자동 발송(발송지 변경 불가)되오니, 다른 주소로 배송 원할 시 교통비 신청 전 e음카드 먼저 발급 필요",읍면동 행정복지센터,기타,[법령] 저출산ㆍ고령사회기본법(제10조) [자치법규] 인천광역시 저출산 대책 및 지원에 관한 조례(제13조의2),"지원대상
○ 신청대상 : 임산부(신청요건 모두 충족)

○ 신청요건
 - (신청일 기준) 인천광역시에 6개월(180일) 이상 주민등록을 두고 실 거주하는 임신부
 * 다문화 외국인 임신부의 경우 부부 모두 외국인인 경우 지원 불가
 * 임산부 교통비 지급시까지 타시도 전출입 이력이 없어야 함

○ 신청시기 : 임신 12주부터 출산일로부터 3개월(90일) 이내(*인천시 출생등록 필수)
 ( * 출산일로부터 90일째에 해당하는 일까지 6개월(180일)이상 인천시에 주민등록을 둔 실거주자 해당)
 (예시) '24. 4. 11.일 출산자의 경우, '24년 7월 9일 까지 거주요건 충족시 신청가능

○ 지원내용 : 교통비 50만원 포인트 지원
 - 인천e음 택시(인천e음 앱에서 호출)
 - 자가용 유류비(전기차 충전비는 불가)
 - 대중교통(안드로이드 폰 사용자만 가능, 아이폰은 불가)","지원내용
임산부 교통비 지원
- 임산부 1인당 교통비 포인트 50만원 지원(인천e음 기본카드에 정책수당 지급) *유효기간 : 1년(미사용 포인트는 소멸됨)
 * 인천e음 택시(인천e음 앱 호출), 자가용 유류비(전기차 불가), 대중교통(안드로이드 폰 사용자만 가능, 아이폰 불가)
 (대중교통 이용은 안드로이드앱 이용자의 경우 가능하며, 지급받은 정책수당을 대중교통 충전(이즐) 전환하고,
 이즐충전소(APP) 에 교통카드를 반드시 등록해야 함. 이 경우 인천e음 교통카드를 소지하지 않은 경우 발급신청해야함)
 (정책수당의 대중교통 충전 전환으로 인한 카드 분실시 책임은 신청자 본인에게 있음. 대중교통 충전한 수당에 대한
 자료는 이즐충전소에서 관리되므로 분실시 환불 등 문의는 이즐충전소에서 확인 요망)

* 인천e음 앱 미가입자 및 카드 미소자 등은 지급 시기 지연 / 신청자 폭주로 지급 시기 지연 가능(2개월 이상 소요 가능)
 - 지급방법 : 군구에 따라 기존 발급한 (비교통) e음 카드에 포인트 지급, 카드가 없을 경우 신규 카드 발급되며, 신청자 주소지로 자동 발송(발송지 변경불가)
 1) 미추홀구, 연수구, 부평구, 계양구, 서구(지역e음 기본카드 있음) : 각 지역 e음 카드(교통기능 없는 카드)로 포인트 지급(인천e음 카드로 지급 불가)
 2) 강화군, 옹진군, 중구, 동구, 남동구(지역e음 기본카드 없음) : 인천e음 카드(교통기능 없는 카드)로 포인트 지급(타구 지역e음 카드로 지급 불가)","강화군 사회복지과 (☎032-930-3589)
옹진군 사회복지과 (☎032-899-2332)
중구 여성보육과 (☎032-760-7913)
동구 여성보육과 (☎032-770-5756)
미추홀구 보육정책과 (☎032-728-6913)
연수구 출산보육과 (☎032-749-7733)
남동구 보육정책과 (☎032-453-8362)
부평구 여성가족과 (☎032-509-5062)
계양구 여성보육과 (☎032-450-5983)
서구 가정보육과 (☎032-560-3445)
인천시청 영유아정책과 (☎032-440-3222)
미추홀콜센터 (☎032-120)"
중앙부처,임산부 및 영유아 영양플러스,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200000005?administOrgCd=ALL,자세한 날짜는 보건소에 따라 다를 수 있음,보건소,보건복지상담센터 / 129,현물,javascript://,자세한 날짜는 보건소에 따라 다를 수 있음,보건복지상담센터 (129),주소지 보건소에 방문하여 신청(주소지 외 보건소에서 서류접수한 경우 영양평가 등 세부 신청접수 서비스는 관할 보건소에서 진행),보건소,현물,[법령] 국민영양관리법(제11조),"지원대상
○ 아래 모두 충족하는 자
 - 가구 규모별 기준 중위소득 대비 80% 이하
 - 영양위험요인(빈혈, 저체중, 성장부진, 영양섭취상태 불량 중 한 가지 이상) 보유자
 - 영아(만 1세 미만), 유아(만 1세-만 6세 까지), 임산부(임신부, 출산부, 모유수유부)
선정기준
○ 소득기준
- 가구 실제 소득이 가장 최근 발표된 국민 기초 생활 보장 사업에서 정한 '가구 규모별 기준 중위소득'의 80% 이하인 경우
 <기준 중위소득의 80%> 
- 가구 건강보험료 본인 부담금 합산액이 기준 금액(가입 형태에 따라 상이) 이하인 경우 소득기준 적합자로 판정
 ※ 관할 보건소에서 소득기준 적합 여부 확인 필요

○ 영양위험요인: 빈혈검사, 신체계측, 영양섭취상태 조사, 기타 영양위험요인 조사를 통하여 다음 중 하나 이상의 위험요인을 보유한 경우
- 빈혈검사 (※ WHO 기준 사용)
 · 6~59개월 영유아 : 헤모글로빈 11g/dL 미만
 · 5세 유아 : 헤모글로빈 11.5g/dL 미만
 · 임신부 : 헤모글로빈 11g/dL 미만
 · 출산·수유부 : 헤모글로빈 12g/dL 미만
- 신체계측 (※ 2017년 소아 및 청소년 표준 성장도표에 근거)
 · 임신·출산·수유부 : 저체중 판정(BMI 18.5미만)
 · 영유아 : 저신장, 저체중, 성장부진 등으로 분류된 경우 
- 영양섭취상태 조사 : 24시간 회상법에 의해 영양소 섭취 부족으로 판정된 경우 (※ 2020년 한국인 영양소 섭취기준(보건복지부, 한국영양학회) 활용)
- 기타 영양위험요인 : 
 · 저체중아, 조산, 사산, 유산, 기형아 출산 경력이 있는 임산부
 · 다태아(쌍생아 이상)를 임신 혹은 출산한 임산부
 · 미숙아(재태기간 37주 미만) 또는 저체중(출생 시 체중 2.5kg 미만)으로 출생한 영아 
 · 이유식 도입시기 부적절, 수유량 부족 등 식생활위험요인이 있는 영아
 · 영양사의 상담에 의하여 부적절한 식품섭취를 하고 있어 지원이 필요하다고 판단되는 경우","지원내용
○ 영양위험요인이 있는 임산부 및 영유아에게 정기적인 영양교육 및 상담과 더불어 보충 식품패키지 제공
 - 영양교육 및 상담: 최소 월 1회 이상 실시(집단교육, 소그룹 교육, 가정방문, 1:1상담 등)
 - 보충 식품 패키지: 대상 구분별 6가지 식품패키지 중 해당 패키지 제공
 - 패키지 구분: 영아(0-6개월 미만), 영아(6-12개월 미만), 유아(만 1세-만 6세 미만), 임신·수유부, 출산부, 완전 모유 수유부",보건복지상담센터 (☎129)
중앙부처,고위험 임산부 의료비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/135200000114?administOrgCd=ALL,분만일로부터 6개월 이내,보건소,보건복지상담센터 / 129,현금,https://www.e-health.go.kr/,분만일로부터 6개월 이내,보건복지상담센터 (129),"주민등록 주소지 관할 보건소로 신청 또는 e보건소 공공보건포털, 아이마중앱 등 온라인 신청",보건소,현금,"[법령] 모자보건법(제10조, 제2항)","지원대상
○ 19대 고위험 임신질환으로 진단받고 입원치료 받은 임산부(*’24년부터 가구 소득과 관계없이 지원)
 - 임신질환: 조기진통, 분만관련 출혈, 중증 임신중독증, 양막의 조기파열, 태반조기박리, 전치태반, 절박유산, 양수과다증, 양수과소증, 분만전 출혈, 자궁경부무력증, 고혈압, 다태임신, 당뇨병, 대사장애를 동반한 임신과다구토, 신질환, 심부전, 자궁내 성장제한, 자궁 및 자궁의 부속기 질환
선정기준
○ 19대 고위험 임신질환으로 진단받고 입원치료 받은 임산부(*’24년부터 가구 소득과 관계없이 지원)
 - 임신질환: 조기진통, 분만관련 출혈, 중증 임신중독증, 양막의 조기파열, 태반조기박리, 전치태반, 절박유산, 양수과다증, 양수과소증, 분만전 출혈, 자궁경부무력증, 고혈압, 다태임신, 당뇨병, 대사장애를 동반한 임신과다구토, 신질환, 심부전, 자궁내 성장제한, 자궁 및 자궁의 부속기 질환","지원내용
○ 고위험 임산부 입원치료비의 건강보험 급여 중 전액본인부담금 및 비급여 진료비에 해당하는 금액의 90% 지원
 - 진찰료, 투약 및 조제료, 주사료, 처치 및 수술료, 검사료, 전혈 및 혈액성분제제료 등(병실입원료 및 환자특식 제외)",보건복지상담센터 (☎129)
경상남도/창원시,임산부 영유아 관리지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/567000000111?administOrgCd=ALL,상시신청,보건소,진해보건소 / 055-225-6137,현물,,상시신청,진해보건소 (055-225-6137),"○ 방문 신청
 - 보건소 : 연중 방문 신청

○ 온라인 신청(정부24 맘편한임신 원스톱서비스: 엽산제, 철분제, 태아기형아쿠폰 택배서비스)
 - 정부24 : 연중",보건소,현물,[법령] 모자보건법,"지원대상
○ 관내 임산부","지원내용
○ 관내 임산부로 보건소에서 임산부 등록을 한 임산부에 한하여 엽산제 및 철분제, 태아기형아 쿠폰 제공

○ 관내 임산부로 보건소에서 임산부 등록을 한 임산부에 한하여 유축기 최대 3주 대여(출산 60일 이내 신청 가능)",진해보건소 (☎055-225-6137)
서울특별시,임산부 및 영유아 영양관리 지원(임산부 및 영유아 영양플러스),https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000000160?administOrgCd=ALL,상시신청,보건소,"종로구보건소 / 02-2148-3614, 중구보건소 / 02-3396-6468, 용산구보건소 / 02-2199-8135, 성동구보건소 / 02-2286-7138, 광진구보건소 / 02-450-1428, 동대문구보건소 / 02-2127-4361, 중랑구보건소 / 02-2094-0148, 성북구보건소 / 02-2241-5944, 강북구보건소 / 02-901-7661, 도봉구보건소 / 02-2091-5465, 노원구보건소 / 02-2116-4560, 은평구보건소 / 02-351-8253, 서대문구보건소 / 02-330-8597, 마포구보건소 / 02-3153-9056, 양천구보건소 / 02-2620-3896, 강서구보건소 / 02-2600-5875, 구로구보건소 / 02-860-3221, 금천구보건소 / 02-2627-2658, 영등포구보건소 / 02-2670-4902, 동작구보건소 / 02-820-9450, 관악구보건소 / 02-879-7406, 서초구보건소 / 02-2155-8075, 강남구보건소 / 02-3423-7113, 송파구보건소 / 02-2147-5113, 강동구보건소 / 02-3425-6697","현물,기타(교육),기타(상담)",,상시신청,"종로구보건소 (02-2148-3614), 중구보건소 (02-3396-6468), 용산구보건소 (02-2199-8135), 성동구보건소 (02-2286-7138), 광진구보건소 (02-450-1428), 동대문구보건소 (02-2127-4361), 중랑구보건소 (02-2094-0148), 성북구보건소 (02-2241-5944), 강북구보건소 (02-901-7661), 도봉구보건소 (02-2091-5465), 노원구보건소 (02-2116-4560), 은평구보건소 (02-351-8253), 서대문구보건소 (02-330-8597), 마포구보건소 (02-3153-9056), 양천구보건소 (02-2620-3896), 강서구보건소 (02-2600-5875), 구로구보건소 (02-860-3221), 금천구보건소 (02-2627-2658), 영등포구보건소 (02-2670-4902), 동작구보건소 (02-820-9450), 관악구보건소 (02-879-7406), 서초구보건소 (02-2155-8075), 강남구보건소 (02-3423-7113), 송파구보건소 (02-2147-5113), 강동구보건소 (02-3425-6697)","<대기자 접수>
○ 방문 신청 
 - 보건소 : 보건소 방문 또는 전화 접수

<대상자 선정을 위한 자격평가>
○ 방문 신청
 - 보건소 : 보건소 방문(보건소 지정일)
 - 구비서류(보건소 문의) : 주민등록등본, 가족관계증명서, 건강보험증, 건강보헙료 납입영수증, 산모수첩(해당자), 기초생활수급자 또는 차상위계층 증명 서류(해당자)",보건소,"현물, 기타(교육), 기타(상담)",[법령] 국민영양관리법(제11조의1),"지원대상
○ 아래 모두 충족하는 자
 - 가구 규모별 기준 중위소득 대비 80% 이하
 - 영양위험요인(빈혈, 저체중, 성장부진, 영양섭취상태 불량 중 한 가지 이상) 보유자
 - 영아(만 1세 미만), 유아(만 1세-만 6세 까지), 임산부(임신부, 출산부, 모유수유부)
 ※ 유아의 경우 최소 6개월 이상 사업에 참여할 수 있도록 대상자 선정 시 만66개월 이하인 유아로 대상자격을 제한할 수 있음
중복혜택 안돼요
저소득층 기저귀·조제분유 지원","지원내용
○ 영양위험요인이 있는 임산부 및 영유아에게 정기적인 영양교육 및 상담과 더불어 보충 식품패키지 제공
 - 영양교육 및 상담: 최소 월 1회 이상 실시(집단교육, 소그룹 교육, 가정방문, 1:1상담 등)
 - 보충 식품 패키지: 대상 구분별 6가지 식품패키지 중 해당 패키지 제공
 - 패키지 구분: 영아(0-6개월 미만), 영아(6-12개월 미만), 유아(만 1세-만 6세 미만), 임신·수유부, 출산부, 완전 모유 수유부
○ 영양상태평가 : 신체계측(키, 체중), 빈혈, 영양소섭취상태 등 평가(6개월 마다)","종로구보건소 (☎02-2148-3614)
중구보건소 (☎02-3396-6468)
용산구보건소 (☎02-2199-8135)
성동구보건소 (☎02-2286-7138)
광진구보건소 (☎02-450-1428)
동대문구보건소 (☎02-2127-4361)
중랑구보건소 (☎02-2094-0148)
성북구보건소 (☎02-2241-5944)
강북구보건소 (☎02-901-7661)
도봉구보건소 (☎02-2091-5465)
노원구보건소 (☎02-2116-4560)
은평구보건소 (☎02-351-8253)
서대문구보건소 (☎02-330-8597)
마포구보건소 (☎02-3153-9056)
양천구보건소 (☎02-2620-3896)
강서구보건소 (☎02-2600-5875)
구로구보건소 (☎02-860-3221)
금천구보건소 (☎02-2627-2658)
영등포구보건소 (☎02-2670-4902)
동작구보건소 (☎02-820-9450)
관악구보건소 (☎02-879-7406)
서초구보건소 (☎02-2155-8075)
강남구보건소 (☎02-3423-7113)
송파구보건소 (☎02-2147-5113)
강동구보건소 (☎02-3425-6697)"
경기도/하남시,임산부 등록관리 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/404000000104?administOrgCd=ALL,상시신청,보건소,미사보건센터 모자보건실 / 031-790-6552,서비스(의료),,상시신청,미사보건센터 모자보건실 (031-790-6552),"○ 온라인 신청 ( 임산부 배지 및 영양제 신청시 가능) 
 - 정부24 : https://www.gov.kr/portal/main

○ 방문 신청
 - 보건소 : 관할 보건소 방문
 - 구비서류: 신분증, 산모수첩 등",보건소,서비스(의료),[법령] 모자보건법(제3조),"지원대상
○ 하남시 관내 주민등록을 둔 임산부","지원내용
○ 초기 임산부 산전검사

○ 임산부 표준모자수첩 및 앰블럼 제공

○ 임산부 엽산제, 철분제 제공

○ 유축기 대여

○ 출산준비교실 운영",미사보건센터 모자보건실 (☎031-790-6552)
경기도/연천군,임산부 산전검사(신혼부부검진),https://www.gov.kr/portal/rcvfvrSvc/dtlEx/414000000117?administOrgCd=ALL,상시신청,보건소,보건사업과/건강증진팀 / 031-839-4075,"현물,서비스(의료)",,상시신청,보건사업과/건강증진팀 (031-839-4075),"○ 방문 신청
 - 보건소 : 관할 보건소 방문
 - 임산부등록시 서류지참
 - 구비서류 : 임신확인서, 등본, 청첩장",보건소,"현물, 서비스(의료)",[자치법규] 연천군 임신 및 출산 지원에 관한 조례,"지원대상
○ 연천군에 주민등록을 두고 거주중인 임산부, 신혼부부 첫아이를 임신계획중인 부부","지원내용
○ 튼살크림지원

○ 임산부산전검사(풍진,기형아쿼드, 빈혈)

○ 예비부부검진(여 6종:B형간염항체,빈혈, 혈당,풍진, 매독,에이즈/ 남 3종:B형간염항체,매독,에이즈 )",보건사업과/건강증진팀 (☎031-839-4075)
공공기관,"난임 부부, 유산 및 사산경험 부부, 임산부 및 양육모를 위한 심리상담",https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B55265700002?administOrgCd=ALL,상시신청,중앙 및 권역 난임·임산부심리상담센터,"사업 문의 / 02-2276-2276, 상담 문의 / 02-2276-2276",기타(상담),https://22762276.nmc.or.kr/,상시신청,"사업 문의 (02-2276-2276), 상담 문의 (02-2276-2276)","- 상담 예약 전화
 중앙센터 : 02-2276-2276
 서울권역센터: 02-2019-4581, 02-6956-6248
 서울서남권역센터: 02-870-3617, 02-895-1002
 경기북부권역센터: 031-961-8500
 경기권역센터: 031-255-3375
 인천권역센터: 032-466-3268
 전남권역센터: 061-901-1234
 경북권역센터: 054-850-6367
 경북서부권역센터: 054-429-8540
 대구권역센터: 053-261-3375",중앙 및 권역 난임·임산부심리상담센터,기타(상담),[법령] 모자보건법(제10조의5) [법령] 모자보건법(제11조의4),"지원대상
○ 난임 부부
 - 부부가 피임을 하지 않고 1년 이상 정기적인 성생활을 하여도 임신이 안되는 경우

○ 유산 및 사산경험 부부
 - 유산 및 사산 등으로 임신 유지관련 정서적 어려움을 호소하는 경우

○ 임신부 및 배우자
 - 임신 중인 여성 및 배우자

○ 산모 및 배우자
 - 출산 후 12주 이내의 산모 및 배우자

○ 양육모 및 배우자
 - 출산 후 3년 이내의 양육모 및 배우자

○ 기타
 - 상담 대상자의 배우자를 제외한 가족 및 관련기관 실무자 등","지원내용
○ 난임 부부, 유산 및 사산경험 부부, 임산부, 양육모 및 배우자를 대상으로 심리상담, 정서적 지지 및 정신건강 고위험군에 대한 의료적 개입 지원을 병행하는 서비스를 제공함으로써 정서적·심리적 문제를 완화하여 삶의 질을 향상시키기 위함

○ 대상자별(난임 부부, 유산 및 사산경험 부부, 임산부, 양육모 및 배우자) 심리상담서비스 (대면, 비대면 상담서비스 지원)
 - 일반상담, 등록상담, 집단상담 및 집단 프로그램, 선별검사, 심리검사, 의사상담 및 의료비 지원(의료급여 1, 2종, 중위소득 150% 이하)
※ 의료비 지원의 경우 예산소진 시 서비스는 종료됩니다.

○ 관련 근거
 - 「모자보건법」 제10조의5 (임산부의 정신건강 증진을 위한 지원)
 - 「모자보건법」 제11조의4 (난임․임산부심리상담센터의 설치·운영 등)","사업 문의 (☎02-2276-2276)
상담 문의 (☎02-2276-2276)"
경상남도/창원시,임산부 진료비 플러스,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/567000000104?administOrgCd=ALL,상시신청,보건소,마산보건소 / 055-225-6763,현금,,상시신청,마산보건소 (055-225-6763),"○ 방문 신청
 - 보건소 : 관할 보건소 방문
 - 출생일로부터 6개월 이내 관할 보건소 신청
 - 구비서류: 신분증, 진료비영수증, 산모통장사본, 주민등록등초본, 산모수첩등",보건소,현금,[법령] 모자보건법,"지원대상
○ 신청일 기준 창원시에 1년이상 주소를 둔 임산부","지원내용
○ 대상 : 신청일기준으로 창원시에 1년이상 주소를 두고 있는 임산부

○ 산부인과 진료비 영수증 합산 금액 중 국민행복카드 지원금 초과분에 대해 최대 20만원 지급
 - 지원제외 : 제명증료, 식대비, 한의원, 약국, 산후조리원, 고위험 임산부 진료비 등",마산보건소 (☎055-225-6763)
세종특별자치시,임산부 영양제 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/569000000344?administOrgCd=ALL,상시신청,세종특별자치시남부통합보건지소,"남부통합보건지소 / 044-301-2427, 남부통합보건지소 / 044-301-2424",현물,,상시신청,"남부통합보건지소 (044-301-2427), 남부통합보건지소 (044-301-2424)",○ 신청방법: 세종시남부통합보건지소 내방하여 임산부 등록,세종특별자치시남부통합보건지소,현물,[법령] 모자보건법(제3조),"지원대상
○ 세종특별자치시에 주민등록 및 보건소 등록 임신부","지원내용
○ 세종시에 주민등록한 임산부 영양제 지원(엽산제, 철분제)

○ 지원 내용
 - 엽산제 지원 : 임신 12주 미만의 남부통합보건지소 등록 임신부 3갑 이내 지급
 - 철분제 지원 : 임신 16주~분만 전까지의 남부통합보건지소 등록 임신부 5갑 이내 지급
 ※ 신분증 및 임신확인서 지참
 ※ 배우자 신청 시, 배우자 신분증 지참","남부통합보건지소 (☎044-301-2427)
남부통합보건지소 (☎044-301-2424)"
