region,title,detail_url,period,agency,contact,type,apply_url,신청기간,전화문의,신청방법,접수기관,지원형태,사업근거,지원대상,지원내용,문의처
중앙부처,한부모가족 아동양육비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/SSI000000020?administOrgCd=ALL,자세한 날짜는 읍면동 주민센터에 따라 다를 수 있음,주민센터,한부모상담전화 / 1577-4206,현금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001068,자세한 날짜는 읍면동 주민센터에 따라 다를 수 있음,한부모상담전화 (1577-4206),"○ 읍면동 주민센터에 방문하거나 온라인으로 신청

○ 신청 절차
 - 소득재산조사(시군구)
 - 보장 결정통지(시군구)
 - 급여 지급(시군구)
 - 소득재산 등 변동 관리 및 확인조사(시군구)
 - 보장 및 급여중지(시군구)
 - 한부모가족(급여 수혜)",주민센터,현금,[법령] 한부모가족지원법(제12조),"지원대상
○ 아동 양육비 : 지원 대상자로 결정된 저소득 한부모 가구의 18세 미만의 아동
 * 단, 고등학교 이하 재학(고3 12월까지) 중인 경우 22세 미만 자녀까지 지원

○ 추가 아동 양육비
 - 조손가족 및 35세 이상 미혼 한부모가족의 5세 이하 자녀
 - 25~34세 이하 청년 한부모의 18세 미만 자녀
 * 단, 고등학교 이하 재학(고3 12월까지) 중인 경우 22세 미만 자녀까지 지원

○ 학용품비 : 한부모가족(조손가족 포함)의 초등학생, 중학생 및 고등학생 자녀

○ 생활보조금 : 한부모가족 복지시설에 입소한 저소득 한부모가족(조손가족 포함)
선정기준
○ 모(조 모) 또는 부(조부)가 18세 미만의 자녀(손자녀)를 양육하는 기준 중위소득 63% 이하인 가정","지원내용
○ 아동 양육비 : 저소득 한부모가족의 18세 미만 자녀 1인당 아동 양육비(월 23만 원) 지급
 * 단, 고등학교 이하 재학(고3 12월까지) 중인 경우 22세 미만 자녀까지 지원
 * 생계급여 지원 한부모가족도 동일하게 지원

○ 추가 아동 양육비
 - 조손가족 및 35세 이상 미혼 한부모의 5세 이하 자녀 1인당 월 5만 원 지급
 - 25~34세 이하 청년 한부모의 5세 이하 자녀 1인당 월 10만원 지급 / 6~18세 미만 자녀 1인당 월 5만원 지급

○ 학용품비 : 한부모가족(조손가족 포함)의 초등학생, 중학생 및 고등학생 자녀 1인당 연 9.3만 원의 학용품비 지급

○ 생활보조금 : 한부모가족 복지시설에 입소한 저소득 한 부모 가족(조손가족 포함)에 대해 가구당 월 5만 원 지급",한부모상담전화 (☎1577-4206)
중앙부처,한부모가족 임대주택 특별공급,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/138300000017?administOrgCd=ALL,LH공사 서비스담당자 확인필요,LH공사,LH마이홈 / 1600-1004,기타,,LH공사 서비스담당자 확인필요,LH마이홈 (1600-1004),"1 물량파악
 ○ 한국토지주택공사, 민간 주택사업자의 공급물량 파악

2. 확보
 ○ 한국토지주택공사 공급분
 - 시･도지사가 한국토지주택공사 지역본부장･지사장과 협의하여 확정
 ○ 민간주택사업자 등 공급분
 - 시･도지사가 국민주택 등에 해당하는 주택의 공급계획을 수립하거나 민간업체의 국민주택 등 공급계획에 대하여 승인할 때 협의･확정

3. 신청접수
 ○ 읍･면･동장은 임대주택의 공급 계획 등을 공고하고 한부모가족의 임대주택 특별공급 신청서를 접수한다.
 - 접수일자, 선정 기준 등은 임대주택 공급일정 등을 고려하여 시･도지사가 정한다.",LH공사,기타,[법령] 한부모가족지원법(제18조),"지원대상
< 특별공급 대상 >
○ 입주대상 : 한부모가족지원법상 지원 대상 한부모가족
 - 입주자모집공고일 기준 무주택세대구성원(세대주 및 세대주와 동일 주민등록표등본에 등재되어 있는 직계존･비속인 세대원)

○ 분양대상 : 한국토지주택공사 및 민간 주택사업자 등의 임대주택
 - 한국토지주택공사: 각 지역본부와 협의하여 공급 물량 파악
 - 민간 주택사업자 등: 사업계획 수립 및 승인 단계에서 공급 물량 파악
선정기준
○ 입주대상 : 한부모가족지원법상 지원 대상 한부모가족
 - 입주자모집공고일 기준 무주택세대구성원(세대주 및 세대주와 동일 주민등록표등본에 등재되어 있는 직계존･비속인 세대원)

○ 시.도지사가 지원 우선순위를 정하여 특별공급대상 한부모 선정
 - 선정 기준은‘특별공급 배점기준표’를 참고하여 지역 사정에 따라 수정 가능","지원내용
○ 한부모가족 임대주택 특별공급",LH마이홈 (☎1600-1004)
중앙부처,한부모가족복지시설 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/WII000000820?administOrgCd=ALL,상시신청(자세한 날짜는 시군구청에 따라 다를 수 있음),"주민센터, 시·군·구청",해당지역 시군구청 / -,시설이용,,상시신청(자세한 날짜는 시군구청에 따라 다를 수 있음),해당지역 시군구청 (-),"시군구청에 방문하여 신청
※위기임산부는「위기임신보호출산법」제6조 지역상담기관을 통해 입소 신청","주민센터,시·군·구청",시설이용,[법령] 한부모가족지원법 [법령] 한부모가족지원법(제19조),"지원대상
○ 저소득 무주택 한부모가족(부자.모자.미혼모자.조손 가족. 미혼모)
선정기준
○ 소득 인정액 = 소득평가액 + 재산의 소득환산액
○ 소득 인정이 기준 중위소득의 100% 이하

※ 24세 이하의 청소년한부모는 소득 수준 관계없이 출산지원시설에 입소 가능
※「위기임신보호출산법」상의 위기임산는 소득 수준에 관계없이 한부모가족복지시설 입소 가능","지원내용
○ 시설 기능보강 지원, 시설 아이돌봄서비스 지원, 입소자 상담 의료치료 지원, 사회복무요원 인력경비 지원",해당지역 시군구청 (☎-)
강원특별자치도,저소득 한부모가정 생활안정 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000700?administOrgCd=ALL,상시신청,주민센터,여성청소년가족과 / 033-249-2698,현금,,상시신청,여성청소년가족과 (033-249-2698),"○ 방문 신청
 - 행정복지센터 : 거주지 관할 읍면동 행정복지센터 방문 신청",주민센터,현금,[자치법규] 강원특별자치도 한부모가족 생활지원 조례,"지원대상
○강원특별자치도에 주민등록주소를 두고있는 기준중위소득 63%이하 한부모가족
중복혜택 안돼요
초등학생 학습지원비, 난방연료비:「국민기초생활 보장법」생계, 의료, 주거, 교육급여 보장세대 중복불가 대학신입생 생활자립금:「국민기초생활 보장법」생계급여 보장세대 중복불가","지원내용
○ 한부모가족 자녀 초등학생 학습지원비, 대학신입생 생활자립금, 난방연료비 지원",여성청소년가족과 (☎033-249-2698)
세종특별자치시,저소득 한부모가족 생활안정지원금 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/569000000365?administOrgCd=ALL,상시신청,주민센터,"여성가족과 한부모가족담당자 / 044-300-3715, 조치원읍 한부모가족담당자 / 044-301-5164, 연기면 한부모가족담당자 / 044-301-5232, 연동면 한부모가족담당자 / 044-301-5335, 부강면 한부모가족담당자 / 044-301-5433, 금남면 한부모가족담당자 / 044-301-5534, 장군면 한부모가족담당자 / 044-301-5633, 연서면 한부모가족담당자 / 044-301-5732, 전의면 한부모가족담당자 / 044-301-5834, 전동면 한부모가족담당자 / 044-301-5936, 소정면 한부모가족담당자 / 044-301-6032, 한솔동 한부모가족담당자 / 044-301-6133, 어진동 한부모가족담당자 / 044-301-7532, 도담동 한부모가족담당자 / 044-301-6232, 아름동 한부모가족담당자 / 044-301-6383, 종촌동 한부모가족담당자 / 044-301-6434, 고운동 한부모가족담당자 / 044-301-6632, 보람동 한부모가족담당자 / 044-301-6733, 새롬동 한부모가족담당자 / 044-301-6822, 대평동 한부모가족담당자 / 044-301-6932, 소담동 한부모가족담당자 / 044-301-7032, 다정동 한부모가족담당자 / 044-301-7132, 해밀동 한부모가족담당자 / 044-301-7432, 반곡동 한부모가족담당자 / 044-301-7332, 나성동 한부모가족담당자 / 044-301-7632",현금,https://www.bokjiro.go.kr/,상시신청,"여성가족과 한부모가족담당자 (044-300-3715), 조치원읍 한부모가족담당자 (044-301-5164), 연기면 한부모가족담당자 (044-301-5232), 연동면 한부모가족담당자 (044-301-5335), 부강면 한부모가족담당자 (044-301-5433), 금남면 한부모가족담당자 (044-301-5534), 장군면 한부모가족담당자 (044-301-5633), 연서면 한부모가족담당자 (044-301-5732), 전의면 한부모가족담당자 (044-301-5834), 전동면 한부모가족담당자 (044-301-5936), 소정면 한부모가족담당자 (044-301-6032), 한솔동 한부모가족담당자 (044-301-6133), 어진동 한부모가족담당자 (044-301-7532), 도담동 한부모가족담당자 (044-301-6232), 아름동 한부모가족담당자 (044-301-6383), 종촌동 한부모가족담당자 (044-301-6434), 고운동 한부모가족담당자 (044-301-6632), 보람동 한부모가족담당자 (044-301-6733), 새롬동 한부모가족담당자 (044-301-6822), 대평동 한부모가족담당자 (044-301-6932), 소담동 한부모가족담당자 (044-301-7032), 다정동 한부모가족담당자 (044-301-7132), 해밀동 한부모가족담당자 (044-301-7432), 반곡동 한부모가족담당자 (044-301-7332), 나성동 한부모가족담당자 (044-301-7632)","○ 온라인 신청
 - 복지로 : www.bokjiro.go.kr

○ 방문 신청
 - 관할 읍면동 주민센터 방문

※ 신청 과정 : 방문 또는 온라인으로 저소득 한부모가정 선정 신청 → 통합조사(선정을 위한 소득인정액 조사) → 대상자 결정(책정·제외)

※ 추가 내용 : 통합조사를 통해 저소득 한부모가족(기준 중위소득 63%이하)으로 책정된 가구에 시기별 지원",주민센터,현금,[법령] 한부모가족지원법(제12조) [자치법규] 세종특별자치시 한부모가족 지원 조례(제6조),"지원대상
○ (한부모가족 자녀 양육비 등 지원) 기준 중위소득 63% 이하인 가족의 18세 미만 자녀
 - 단, 고등학교 재학(고3, 12월까지) 중인 경우 22세 미만 자녀

○ (청소년한부모 아동양육 및 자립지원) 기준 중위소득 65% 이하인 청소년한부모의 자녀
중복혜택 안돼요
교육급여","지원내용
○ 교통비 
 - 대상 : 중·고등학교 재학중인 자녀(교육급여 대상자 제외)
 - 금액 : 개인별 연 10만원
 - 지원시기 : 연 2회 지원(1회 5만원)

○ 학습지원비
 - 대상 : 초·중·고등학교 재학중인 자녀(교육급여 대상자 제외)
 - 금액 : 초등학생 20만원, 중학생 25만원, 고등학생 35만원
 - 지원시기 : 연 2회 지원(상반기 초10, 중15, 고20만원 / 하반기 초10, 중10, 고15만원)

○ 명절지원금
 - 대상 : 저소득 한부모가족 세대 중 기준 중위소득 63%이하(청소년한부모는 기준 중위소득 65%이하) 급여 대상자
 - 금액 : 세대별 연 20만원
 - 지원시기 : 설, 추석 각 10만원 지원

○ 월동비
 - 대상 : 저소득 한부모가족 세대 중 기준 중위소득 63%이하(청소년한부모는 기준 중위소득 65%이하)
 - 금액 : 세대별 연 30만원
 - 지원시기 : 11월 지원

 ※ 지자체 지원사업으로 각 지자체별 서비스 내용이 상이할 수 있습니다.","여성가족과 한부모가족담당자 (☎044-300-3715)
조치원읍 한부모가족담당자 (☎044-301-5164)
연기면 한부모가족담당자 (☎044-301-5232)
연동면 한부모가족담당자 (☎044-301-5335)
부강면 한부모가족담당자 (☎044-301-5433)
금남면 한부모가족담당자 (☎044-301-5534)
장군면 한부모가족담당자 (☎044-301-5633)
연서면 한부모가족담당자 (☎044-301-5732)
전의면 한부모가족담당자 (☎044-301-5834)
전동면 한부모가족담당자 (☎044-301-5936)
소정면 한부모가족담당자 (☎044-301-6032)
한솔동 한부모가족담당자 (☎044-301-6133)
어진동 한부모가족담당자 (☎044-301-7532)
도담동 한부모가족담당자 (☎044-301-6232)
아름동 한부모가족담당자 (☎044-301-6383)
종촌동 한부모가족담당자 (☎044-301-6434)
고운동 한부모가족담당자 (☎044-301-6632)
보람동 한부모가족담당자 (☎044-301-6733)
새롬동 한부모가족담당자 (☎044-301-6822)
대평동 한부모가족담당자 (☎044-301-6932)
소담동 한부모가족담당자 (☎044-301-7032)
다정동 한부모가족담당자 (☎044-301-7132)
해밀동 한부모가족담당자 (☎044-301-7432)
반곡동 한부모가족담당자 (☎044-301-7332)
나성동 한부모가족담당자 (☎044-301-7632)"
중앙부처,한부모무료법률구조,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/138300000040?administOrgCd=ALL,접수기관별상이,○대한법률구조공단,대한법률구조공단 구조2부 / 054-810-1064,기타,,접수기관 별 상이,대한법률구조공단 구조2부 (054-810-1064),"○ 대한법률구조공단 
지역 소재 대한법률구조공단 사무소 방문 신청
- 방문상담예약 : 공단 홈페이지(www.klac.or.kr), 모바일 홈페이지(m.klac.or.kr), 국번없이 132 전화, 방문 등 통해 가능",○대한법률구조공단,기타,"[법령] 법률구조법(제7조, 제2항)","지원대상
기준중위소득 125%이하의 한부모가족 또는 미혼부
선정기준
지원대상과 동일","지원내용
○ 법적 분쟁 발생 시 무료법률구조를 통해 정당하게 권리구제를 받을 수 있도록 소송비용 등 지원",대한법률구조공단 구조2부 (☎054-810-1064)
서울특별시,한부모가족 자녀 교통비 등 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/611000000116?administOrgCd=ALL,상시신청,주민센터,관할 주민센터 / 02-120,현금,,상시신청,관할 주민센터 (02-120),"○ 방문 신청 
 - 주민센터 : 대상자가 동주민센터에 신청",주민센터,현금,[자치법규] 서울특별시 한부모가족 지원에 관한 조례,"지원대상
○ 교통비 : 소득인정액이 기준 중위소득 60%이하인 한부모가족의 중·고등학생(분기 86,400원) 

○ 교육비 : 소득인정액이 기준 중위소득 60%이하인 한부모가족의 고등학생 자녀(입학금·수업료 실비의 50%)","지원내용
○ 저소득 한부모가족 자녀에게 교통비·교육비 지급",관할 주민센터 (☎02-120)
경상남도,한부모가족 자립지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001077?administOrgCd=ALL,상시신청,"주민센터, 시·군·구청","각 시군 및 읍면동 문의 / 055, 경남도청 여성가족과 / 055-211-5246",현금,,상시신청,"각 시군 및 읍면동 문의 (055), 경남도청 여성가족과 (055-211-5246)","○ 방문 신청
 - 주민센터 : 거주지 관할 읍면동 주민센터에 방문 신청
 - 시군구 : 관할 시군구 방문

* 단, 생활자립금 지원은 창업(사업자 등록 및 영업신고) 후 90일 이내 신청해야함","주민센터,시·군·구청",현금,[법령] 한부모가족지원법(제17조) [자치법규] 경상남도 한부모가족 등 지원 조례(제7조),"지원대상
○ 소득인정액 기준 중위소득 63%이하 한부모가족
중복혜택 안돼요
난방연료비 : (상반기) 에너지바우처 지원자, (하반기) 에너지바우처 지원대상자 방과 후 자녀학습비 : (상반기)생계급여 수급자, (하반기) 중복지원 제한없음","지원내용
○ 생활자립금 : 세대당 창업자금 및 사업정착금 3백만원이내(최근 5년이내 지원자 제외)

○ 난방연료비 : 세대당 연간 40만원이내(1~3월, 10~12월 지원)

○ 건강관리비 : 치료비, 진료비, 약값 등 세대당 연간 20만원 이내

○ 방과 후 자녀학습비 : (상반기) 중학생 1인당 연간 48만원 / (하반기) 중고등학생 1인당 연간 60만원

○ 문화비 : 세대당 연13만원 이내","각 시군 및 읍면동 문의 (☎055)
경남도청 여성가족과 (☎055-211-5246)"
대전광역시,한부모가족 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000125?administOrgCd=ALL,상시신청,"주민센터, 시·군·구청","동구청 가족지원과 / 042-251-4515, 중구청 여성아동과 / 042-606-7215, 서구청 여성가족복지과 / 042-288-3213, 유성구청 사회돌봄과 / 042-611-2819, 대덕구청 가족친화과 / 042-608-6783","현금,기타",,상시신청,"동구청 가족지원과 (042-251-4515), 중구청 여성아동과 (042-606-7215), 서구청 여성가족복지과 (042-288-3213), 유성구청 사회돌봄과 (042-611-2819), 대덕구청 가족친화과 (042-608-6783)","○ 방문 신청
 - 동행정복지센터 : 거주지 관할 동 행정복지센터에 방문하여 신청서 제출

○ 사업별 지원시기 상이
-가족문화체험활동비: 자치구별 계획에 따라 적정시기 결정 추진
-초중고 입학생 교구교재비 지원: 2월중 / 신학기 입학전
-월동비지원: 11월 중 / 10.15.기준 저소득한부모가족 책정세대
-고등학생자녀 교육비: 분기별","주민센터,시·군·구청","현금, 기타",[법령] 한부모가족지원법,"지원대상
○ 소득인정액 기준 중위소득 63% 이하 저소득 한부모가족 가족
중복혜택 안돼요
-월동비지원: 생계급여 제외 -고등학생자녀교육비: 교육급여 제외","지원내용
○ 월동비 지원 : 저소득 한부모가구당 연 22만원 지원

○ 가족문화체험 활동비 지원 : 저소득 한부모가정의 부 또는 모와 자녀 대상 1인당 연 10만원 지원 / (각 자치구별 자율 운영)

○ 고등학생 자녀교육비 지원
 - 저소득 한부모가족 자녀 중 고등학교 학생 입학금, 수업료 등 지원 
 ㆍ무상교육 예외학교만 지원

○ 초중고 입학생 교구교재비 지원 : 저소득 한부모가족 자녀 중 초중고 입학생 대상 1인당 연 5만원 지원","동구청 가족지원과 (☎042-251-4515)
중구청 여성아동과 (☎042-606-7215)
서구청 여성가족복지과 (☎042-288-3213)
유성구청 사회돌봄과 (☎042-611-2819)
대덕구청 가족친화과 (☎042-608-6783)"
경기도,한부모가족 학습재료비 등 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000155?administOrgCd=ALL,상시신청,주민센터,가족다문화과 / 031-8008-3489,현금,http://online.bokjiro.go.kr/,상시신청,가족다문화과 (031-8008-3489),"○ 방문 신청
 - 시군구 : 관할 행정복지센터

○ 온라인 복지로 신청
 - http://online.bokjiro.go.kr",주민센터,현금,[법령] 한부모가족지원법(제17조) [자치법규] 경기도 한부모가족 지원 조례(제8조),"지원대상
○ 소득인정액이 기준중위소득 63% 이하인 한부모 및 조손 한부모가족","지원내용
○ 공통대상 : 18세 미만 아동을 양육하는 저소득 한부모가족(조손한부모가족 포함)
 단, 고등학교 재학(고3 12월까지)중인 경우, 22세 미만 자녀

 - 학습재료비 : 초중고등학교 재학생 양육 가정에 1인당 1.5만원(월) 지급

 - 생필품비 : 저소득 한부모가족에 세대당 6만원 지급 (연2회/ 설, 추석)

 - 저소득 한부모가족 교육비 : 무상교육 제외학교에 다니는 고등학생 자녀 입학금, 수업료 실비 지원
 - 조손가족 손자녀 양육비 : 중고교 재학 손자녀를 양육하는 조손한부모가족에 1인당 월 10만원 지급
 ※ 18세 미만으로 아동양육비(국비사업)를 지원받는 대상자는 제외

 - 조손가족손자녀 대학 입학(등록)금 : 저소득 조손가족(맞춤형급여대상 포함) 손자녀 대학교 신입생 1인당 최대 500만원 내 실비 지급
 - 조손가족손자녀 대학 입학준비금 : 저소득 조손가족(맞춤형급여대상 포함) 손자녀 대학교 신입생 1인당 최대 250만원 내 실비 지급",가족다문화과 (☎031-8008-3489)
