row_id,대상유형,지역,제목,detail_url,신청기간,신청방법,접수기관,지원형태,지원대상,지원내용,문의처,기타,카테고리_분류,지원형태_분류,지원대상_원문,지원대상_초벌요약,지원내용_원문,지원내용_초벌요약,age_eff_ranges,age_has_rule,최종요약_final
0,한부모,강원특별자치도,강릉의료원 보건의료 복지 통합지원 서비스,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/O00037300001?administOrgCd=ALL,상시신청,"○ 기타
 - 전자공문",nan,"현금 ( 감면 ) , 서비스 ( 의료 )","지원대상
○ 국민기초생활수급자 ( 생계, 의료, 주거, 교육 급여 )

○ 차상위계층

○ 가구건강보험료 본인부담금 합산액이 기준 중위소득 80% 이하","지원내용
○ 의료비 지원
 - 질병치료와 관련한 강릉의료원 의료서비스 이용시 급여 본인부담금 지원
 ㆍ 지원 제외 : 비급여, 선택진료료, 간병비, 미용목적, 의사의 소견이 없으며 질병치료와 관련없는 본인이 원하는 검사 및 치료 등
 - 지자체 ( 시청, 주민센터 ) , 보건소에서 지원이 필요하다고 판단하여 서비스 지원을 의뢰·신청 필요 ( 공문, 신청서, 증빙자료 제출 필요 )

○ 만성질환 관리 및 모니터링
 - 등록 대상 중 만성질환자에 대한 지속적인 질병관리 및 모니터링

○ 지역사회 자원연계
 - 본병원내에서 진행되는 공공의료 사업 외 기타 보건·의료·복지 서비스가 필요한 자에 대해 외부 기관의 지원 사업 연계",보건의료복지통합지원팀 ( ☎033-610-1492 ),nan,취약계층,"직접금전지원,감면할인지원,의료지원,서비스","(1) 국민기초생활수급자 ( 생계, 의료, 주거, 교육 급여 )
(2) 차상위계층
(3) 가구건강보험료 본인부담금 합산액이 기준 중위소득 80% 이하","국민기초생활수급자 ( 생계, 의료, 주거, 교육 급여 ) 차상위계층 가구건강보험료 본인부담금 합산액이 기준 중위소득 80% 이하이다.","(1) 의료비 지원
 - 질병치료와 관련한 강릉의료원 의료서비스 이용시 급여 본인부담금 지원
 ㆍ 지원 제외 : 비급여, 선택진료료, 간병비, 미용목적, 의사의 소견이 없으며 질병치료와 관련없는 본인이 원하는 검사 및 치료 등
 - 지자체 ( 시청, 주민센터 ) , 보건소에서 지원이 필요하다고 판단하여 서비스 지원을 의뢰·신청 필요 ( 공문, 신청서, 증빙자료 제출 필요 )

(2) 만성질환 관리 및 모니터링
 - 등록 대상 중 만성질환자에 대한 지속적인 질병관리 및 모니터링

(3) 지역사회 자원연계
 - 본병원내에서 진행되는 공공의료 사업 외 기타 보건·의료·복지 서비스가 필요한 자에 대해 외부 기관의 지원 사업 연계",의료비 및 만성질환 관리 및 모니터링,[],0.0,"국민기초생활수급자, 차상위계층, 가구건강보험료 본인부담금 합산액이 기준 중위소득 80% 이하인 대상에게 강릉의료원에서 제공하는 의료서비스 본인부담금 지원, 만성질환 관리 및 모니터링, 지역사회 자원연계 서비스를 제공합니다.  지원을 받으려면 지자체 또는 보건소에 신청서와 증빙자료를 제출해야 합니다."
1,한부모,강원특별자치도,강원형 수선유지 주거급여 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000678?administOrgCd=ALL,접수기관 별 상이,"○ 방문 신청
 - 주민센터 : 주소지 읍면동 주민센터에 방문 신청
 - 시군 : 주소지 시군 방문 신청","주민센터,시·군·구청",현물,"지원대상
○ 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등","지원내용
○ 지원대상
 - 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등
 - 자가 및 임차가구 ( 임대인이 주택수선 후 4년 이상 임대를 동의한 경우 )

○ 지원내용
 - 도배·장판교체, 보일러·담장·벽체수리, 지붕·화장실 개선, 소방시설 등

 - 가구당 최대 4백만원 지원",건축과 ( ☎033-249-3464 ),nan,"한부모,고령자,취약계층","주거지원,물품지원","(1) 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등","기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등","(1) 해당사항
 - 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등
 - 자가 및 임차가구 ( 임대인이 주택수선 후 4년 이상 임대를 동의한 경우 )
(2) 세부사항
 - 도배·장판교체, 보일러·담장·벽체수리, 지붕·화장실 개선, 소방시설 등
 - 가구당 최대 4백만원 지원",가구당 최대 5백만원 지원 등,[],0.0,"대한민국 정부는 기준 중위소득 50%이하 차상위계층 중 고령자, 장애인, 소년·소녀가정, 다자녀 가정, 한부모가족 등에게 주택수선 지원을 제공합니다.  자가 및 임차가구(임대인이 주택수선 후 4년 이상 임대를 동의한 경우)를 대상으로 도배, 장판교체, 보일러, 담장, 벽체수리, 지붕, 화장"
2,한부모,강원특별자치도,방학 중 아동급식 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/653000000008?administOrgCd=ALL,상시신청,거주지 관할 읍/면/동 행정복지센터에 방문 신청,주민센터,현물,"지원대상
(1) 아래의 어느 하나에 해당하는 아동으로서 결식우려가 있는 아동
 - 국민기초생활보장법 제2조제2호에 따른 수급자 가구의 아동, 차상위계층 아동
 - 한부모가족지원법 제5조 및 제5조의2에 따른 지원대상자가 양육하는 아동
 - 긴급복지지원법에 따른 긴급복지 지원대상 가구의 아동
 - 보호자가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 보호가 필요한 아동
 - 보호자의 사고, 급성질환, 만성질환 등의 사유로 보호자의 양육능력이 미약한 가구의 아동
 - 기준중위소득 52% 이하인 가구의 아동
 - 위 각호에는 해당되지 않으나 담임교사, 사회복지사, 이통반장, 시군 담당공무원 등이 추천하는 아동으로서 아동급식위원회에서 급식지원이 필요하다고 결정한 아동

(2) 지역아동센터, 사회복지관 등의 아동복지프로그램 이용 아동

(3) 외국 국적 아동 중 (1) , (2) 의 지원기준에 해당하는 아동
 - 중복혜택 안돼요
 - 아동복지프로그램 ( 지역아동센터, 사회복지관 등 ) 을 통해 식사를 제공받는 경우 해당 식사분에 대하여 급식카드 등 다른 형태의 급식지원 중복 이용 불가","지원내용
○ 지원연령: 18세 미만의 취학 아동 ( 초등학교, 중학교, 고등학교 재학 ) 및 학교밖 청소년
 - 다만, 18세 이상인 경우에도 초중등교육법 제2조에 따른 학교에 재학 중인 아동 포함

○ 지원유형: 아동급식카드, 지역아동센터 ( 단체급식 ) 지원, 도시락 ( 부식 ) 배달, 식품권
 ※ 시군 상황에 따라 지원유형 상이",복지정책과 ( ☎033-249-2267 ),nan,"한부모,임신/출산/육아,초/중/고등학생,취약계층","교육지원,물품지원","(1) 아래의 어느 하나에 해당하는 아동으로서 결식우려가 있는 아동
 - 국민기초생활보장법 제2조제2호에 따른 수급자 가구의 아동, 차상위계층 아동
 - 한부모가족지원법 제5조 및 제5조의2에 따른 지원대상자가 양육하는 아동
 - 긴급복지지원법에 따른 긴급복지 지원대상 가구의 아동
 - 보호자가 사망, 가출, 행방불명, 구금시설에 수용되는 등의 사유로 보호가 필요한 아동
 - 보호자의 사고, 급성질환, 만성질환 등의 사유로 보호자의 양육능력이 미약한 가구의 아동
 - 기준중위소득 52% 이하인 가구의 아동
 - 위 각호에는 해당되지 않으나 담임교사, 사회복지사, 이통반장, 시군 담당공무원 등이 추천하는 아동으로서 아동급식위원회에서 급식지원이 필요하다고 결정한 아동
(2) 지역아동센터, 사회복지관 등의 아동복지프로그램 이용 아동
(3) 외국 국적 아동 중 (1) , (2) 의 지원기준에 해당하는 아동
 - 중복혜택 안돼요
 - 아동복지프로그램 ( 지역아동센터, 사회복지관 등 ) 을 통해 식사를 제공받는 경우 해당 식사분에 대하여 급식카드 등 다른 형태의 급식지원 중복 이용 불가","국민기초생활보장법 제2조제2호에 따른 수급자 가구의 아동, 차상위계층 아동 또는 지역아동센터, 사회복지관 등의 아동복지프로그램 이용 아동 등","(1) 연령: 18세 미만의 취학 아동 ( 초등학교, 중학교, 고등학교 재학 ) 및 학교밖 청소년
 - 다만, 18세 이상인 경우에도 초중등교육법 제2조에 따른 학교에 재학 중인 아동 포함
(2) 유형: 아동급식카드, 지역아동센터 ( 단체급식 ) 지원, 도시락 ( 부식 ) 배달, 식품권
(3) 시군 상황에 따라 지원유형 상이","18세 미만의 취학 아동 및 학교밖 청소년 지원유형은 아동급식카드, 지역아동센터지원, 도시락배달, 식품권 시군 상황에 따라 상이하다.",[],0.0,"대한민국 정부는 결식우려가 있는 아동, 지역아동센터 등 아동복지프로그램 이용 아동 등을 지원대상으로 하여, 아동급식카드, 지역아동센터 단체급식, 도시락 배달, 식품권 등 다양한 형태의 급식 지원을 제공합니다. 지원 유형은 시군 상황에 따라 달라지며, 18세 미만의 취학 아동 및 학교밖 청소년을 대상으로 합니다."
3,한부모,강원특별자치도,산모·신생아 건강관리 본인부담금 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000703?administOrgCd=ALL,서비스 이용 후 30일까지,"○ 방문 신청
 - 보건소 : 관할 보건소 방문
○ 온라인 신청",보건소,현금,"지원대상
○ 산모신생아 건강관리 기본지원 대상자 ( 기준 중위소득 150%이하 출산가정 ) 중 보건소 신청일 기준 도내 6개월 이상 거주한 산모","지원내용
○ 산모신생아건강관리 서비스를 이용한 대상 ( 기준 중위소득 150%이하 ) 중, 보건소 신청일 기준 도내 6개월 이상 거주한 산모에게 본인 부담금 지원

○ 산모·신생아 건강관리지원 표준서비스 본인부담금: 1인 10일 최대 20만원 ( 90% 지원, 10% 자부담원칙 )

○ 산모·신생아 건강관리지원 큰아이 돌봄 부가서비스 지원: 
 ① 큰아이가 영유아인 경우 ( 지원 금액 확대 )
 · 큰아이 1명 : 서비스 가격의 90% 지원 ( 10% 자부담 원칙 )
 · 큰아이 2명 이상 : 서비스 가격의 90% 지원 ( 10% 자부담 원칙 )
 ② 큰아이가 영유아가 아닌 경우 ( 현행 사업과 동일 )
 · 큰아이 1명 : 10일 최대 9만 원 ( 90% 지원, 10% 자부담 원칙 )
 · 큰아이 2명 이상 : 10일 최대 14만 원 ( 90% 지원, 10% 자부담 원칙 )",주소지 관할 보건소 ( ☎- ),nan,"임신/출산/육아,취약계층","직접금전지원,서비스",(1) 산모신생아 건강관리 기본지원 대상자 ( 기준 중위소득 150%이하 출산가정 ) 중 보건소 신청일 기준 도내 6개월 이상 거주한 산모,(1) 산모신생아 건강관리 기본지원 대상자 ( 기준 중위소득 150%이하 출산가정 ) 중 보건소 신청일 기준 도내 6개월 이상 거주한 산모,"(1) 산모신생아건강관리 서비스를 이용한 대상 ( 기준 중위소득 150%이하 ) 중, 보건소 신청일 기준 도내 6개월 이상 거주한 산모에게 본인 부담금 지원

(2) 산모·신생아 건강관리지원 표준서비스 본인부담금: 1인 10일 최대 20만원 ( 90% 지원, 10% 자부담원칙 )

(3) 산모·신생아 건강관리지원 큰아이 돌봄 부가서비스 지원: 
 ① 큰아이가 영유아인 경우 ( 지원 금액 확대 )
 · 큰아이 1명 : 서비스 가격의 90% 지원 ( 10% 자부담 원칙 )
 · 큰아이 2명 이상 : 서비스 가격의 90% 지원 ( 10% 자부담 원칙 )
 ② 큰아이가 영유아가 아닌 경우 ( 현행 사업과 동일 )
 · 큰아이 1명 : 10일 최대 9만 원 ( 90% 지원, 10% 자부담 원칙 )
 · 큰아이 2명 이상 : 10일 최대 14만 원 ( 90% 지원, 10% 자부담 원칙 )",보건소 신청일 기준 도내 6개월 이상 거주한 산모에게 본인 부담금 지원,"[[0, 200]]",1.0,"중위소득 150% 이하 출산가정 중 보건소 신청일 기준 도내 6개월 이상 거주한 산모에게 산모·신생아 건강관리 서비스 본인부담금을 90% 지원합니다. 또한, 큰아이 돌봄 부가서비스 또한 큰아이의 연령에 따라 지원 금액이 달라지며, 항상 10% 자부담 원칙을 적용합니다."
4,한부모,강원특별자치도,산모·신생아 건강관리 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000684?administOrgCd=ALL,출산 예정일 40일 전부터 출산일로부터 60일까지 바우처 신청,"○ 방문 신청
 - 보건소 : 관할 보건소 방문",보건소,이용권,"지원대상
○ 산모신생아 건강관리 기본지원 대상자 ( 기준중위소득 150%이하 출산가정 )

○ 생활의료주거교육급여 수급자 또는 차상위계층의 출산가구

○ 강원도 예외지원 대상자 ( 희귀질환중증난치질환 산모, 장애인 산모 또는 장애 신생아, 쌍생아 이상 출산 가정, 둘째아 이상 출산 가정, 새터민 산모, 결혼이민 산모, 미혼모 산모, 분만 취약지 산모 )","지원내용
○ 산모 및 신생아 건강관리, 산모정보제공, 가사활동지원, 정서지원 등",주소지 관할 보건소 ( ☎- ),nan,"한부모,임신/출산/육아,취약계층",이용권,"(1) 산모신생아 건강관리 기본지원 대상자 ( 기준중위소득 150%이하 출산가정 )
(2) 생활의료주거교육급여 수급자 또는 차상위계층의 출산가구
(3) 강원도 예외지원 대상자 ( 희귀질환중증난치질환 산모, 장애인 산모 또는 장애 신생아, 쌍생아 이상 출산 가정, 둘째아 이상 출산 가정, 새터민 산모, 결혼이민 산모, 미혼모 산모, 분만 취약지 산모 )",강원도 산모신생아 건강관리 기본지원 대상자는 생활의료주거교육급여 수급자 또는 차상위계층의 출산가구 강원도 예외 지원 대상자이다.,"(1) 산모 및 신생아 건강관리, 산모정보제공, 가사활동지원, 정서지원 등","(1) 산모 및 신생아 건강관리, 산모정보제공, 가사활동지원, 정서지원 등",[],0.0,"강원도 산모신생아 건강관리 기본지원은 기준중위소득 150% 이하 출산가정, 생활의료주거교육급여 수급자 또는 차상위계층 출산가구, 그리고 희귀질환/중증난치질환 산모, 장애인 산모/장애 신생아, 쌍생아 이상 출산 가정, 둘째아 이상 출산 가정, 새터민 산모, 결혼이민 산모,"
5,여성,강원특별자치도,여성구직활동 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000731?administOrgCd=ALL,매년 초 ( 1~3월 ),"○ 온라인 신청 
 - 강원일자리정보망 : https://job.gwd.go.kr/gwjob",온라인신청,"이용권, 기타","지원대상
○ 40세 이상 ~ 59세 이하, 가구소득 기준중위소득 60%초과 150% 이하인 미취업 여성
중복혜택 안돼요
여성구직활동 지원사업과 유사하게 구직활동비를 지원하는 사업","지원내용
○ 지원대상 : 40세 이상 ~ 59세 이하, 가구소득 기준중위소득 60%초과 150% 이하인 미취업 여성
 
○ 지원내용 : 취업 준비에 필요한 구직활동비 지원 ( 교육비, 도서구입비, 자격증 취득비, 면접활동비 등 )

○ 지원방식 : 온라인 포인트 배정‧사용, 오프라인 ( 체크카드 ) 사용 후 환급

○ 지원금액 : ( 신규 ) 1인당 최대 300만 원 ( 월 50만 원 *6개월 ) , ( 재참여 ) 1인당 최대 150만 원 ( 월 50만원 * 3개월 )
 - 지원금 수급 중 취·창업에 성공하여 3개월 근속 ( 영업 ) 한 경우, 취·창업 성공금 현금 50만원 지원
 * 지원금 전액 수급한 경우는 성공금 지급 제외",여성청소년가족과 ( ☎033-249-4342 ),nan,"구직/취업,창업/자영업,취약계층","직접금전지원,감면할인지원,이용권,교육지원","(1) 40세 이상 ~ 59세 이하, 가구소득 기준중위소득 60%초과 150% 이하인 미취업 여성
 - 중복혜택 안돼요
 - 여성구직활동 지원사업과 유사하게 구직활동비를 지원하는 사업","40세 이상 ~ 59세 이하, 가구소득 기준중위소득 60%초과 150% 이하인 미취업 여성 등","(1) 취업 준비에 필요한 구직활동비 지원 ( 교육비, 도서구입비, 자격증 취득비, 면접활동비 등 )

(2) 방식 : 온라인 포인트 배정‧사용, 오프라인 ( 체크카드 ) 사용 후 환급

(3) 금액 : ( 신규 ) 1인당 최대 300만 원 ( 월 50만 원 *6개월 ) , ( 재참여 ) 1인당 최대 150만 원 ( 월 50만원 * 3개월 )
 - 지원금 수급 중 취·창업에 성공하여 3개월 근속 ( 영업 ) 한 경우, 취·창업 성공금 현금 50만원 지원
 * 지원금 전액 수급한 경우는 성공금 지급 제외","취업 준비에 필요한 구직활동비 지원 ( 교육비, 도서구입비, 자격증 취득비, 면접활동비 등 )","[[40, 59]]",1.0,"40세 이상 59세 이하, 가구소득 기준 중위소득 60% 초과 150% 이하인 미취업 여성을 대상으로 취업 준비에 필요한 구직활동비를 지원합니다. 신규 지원자는 최대 300만원(월 50만원 * 6개월), 재참여자는 최대 150만원(월 50만원 * 3개월)을 지원하며, 지원금 수급 중"
6,한부모,강원특별자치도,장애인 치과치료비 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/O00037600013?administOrgCd=ALL,상시신청,"○ 방문 신청 
 - 주민센터 : 해당읍·면사무소 복지팀 방문
 - 보건소 : 정신건강복지센터 등록 대상자 해당
 - 기타 : 사회복지기관, 장애인 단체 등
 
○ 기타 
 - 전화, 우편, 팩스 등","사회복지기관, 장애인 단체,주민센터,보건소",서비스 ( 의료 ),"지원대상
○ 영월군 등록장애인 중
 - 국민기초생활보장 수급자
 - 기준중위소득 80%이하인 자","지원내용
○ 치아우식증, 치아치료에 관련된 진료비 지원 ( 비급여 포함 )
 - 1인 1회 최대 10만 원",공공의료팀 ( ☎033-370-9235 ),nan,취약계층,"의료지원,서비스","(1) 영월군 등록장애인 중
 - 국민기초생활보장 수급자
 - 기준중위소득 80%이하인 자","(1) 영월군 등록장애인 중
 - 국민기초생활보장 수급자
 - 기준중위소득 80%이하인 자","(1) 치아우식증, 치아치료에 관련된 진료비 지원 ( 비급여 포함 )
 - 1인 1회 최대 10만 원",장애인 치과치료비 지원,[],0.0,영월군에 등록된 장애인 중 국민기초생활보장 수급자와 기준중위소득 80% 이하의 자는 치아우식증 및 치아치료 관련 진료비를 지원받을 수 있습니다.  1인당 1회 최대 10만원까지 지원됩니다.
7,한부모,강원특별자치도,저소득 한부모가정 생활안정 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000700?administOrgCd=ALL,상시신청,"○ 방문 신청
 - 행정복지센터 : 거주지 관할 읍면동 행정복지센터 방문 신청",주민센터,현금,"지원대상
○강원특별자치도에 주민등록주소를 두고있는 기준중위소득 63%이하 한부모가족
중복혜택 안돼요
초등학생 학습지원비, 난방연료비:「국민기초생활 보장법」생계, 의료, 주거, 교육급여 보장세대 중복불가 대학신입생 생활자립금:「국민기초생활 보장법」생계급여 보장세대 중복불가","지원내용
○ 한부모가족 자녀 초등학생 학습지원비, 대학신입생 생활자립금, 난방연료비 지원",여성청소년가족과 ( ☎033-249-2698 ),nan,"한부모,초/중/고등학생,대학 ( 원 ) 생,취약계층",직접금전지원,"(1) 강원특별자치도에 주민등록주소를 두고있는 기준중위소득 63%이하 한부모가족
 - 중복혜택 안돼요
 - 초등학생 학습지원비, 난방연료비:「국민기초생활 보장법」생계, 의료, 주거, 교육급여 보장세대 중복불가 대학신입생 생활자립금:「국민기초생활 보장법」생계급여 보장세대 중복불가",강원특별자치도에 주민등록주소를 두고있는 기준중위소득 63%이하 한부모가족,"(1) 한부모가족 자녀 초등학생 학습지원비, 대학신입생 생활자립금, 난방연료비 지원",저소득 한부모가정 생활안정 지원,[],0.0,"강원특별자치도에 주민등록주소를 두고 있는 기준중위소득 63% 이하 한부모가족에게 초등학생 학습지원비, 대학신입생 생활자립금, 난방연료비를 지원합니다.  이 지원은 '국민기초생활 보장법'의 생계급여 보장세대 중복 불가 규정을 고려하여, 기존 지원과의 중복을 방지합니다."
8,한부모,강원특별자치도,지역공동체일자리사업,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000696?administOrgCd=ALL,상시신청,○ 방문 신청,주민센터,서비스 ( 일자리 ),"지원대상
○ 취업취약계층","지원내용
○ 대상 : 도내 취업취약계층

○ 내용 : 저소득 취약계층에 공공분야 일자리 제공을 통한 근로의욕 고취 및 생활안정 도모",일자리청년과 ( ☎033-249-3806 ),nan,"구직/취업,취약계층",서비스,(1) 취업취약계층,(1) 취업취약계층,(1) 도내 취업취약계층 에게 저소득 취약계층에 공공분야 일자리 제공을 통한 근로의욕 고취 및 생활안정 도모,(1) 도내 취업취약계층 에게 저소득 취약계층에 공공분야 일자리 제공을 통한 근로의욕 고취 및 생활안정 도모,[],0.0,도내 취업취약계층을 대상으로 공공분야 일자리 제공을 통해 근로의욕을 고취하고 생활안정을 도모합니다.
9,한부모,강원특별자치도,지역사회서비스 지원,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000722?administOrgCd=ALL,연중 ( 수시 ) → 시군청 복지 부서로 직접문의,○ 주민등록상 거주지 주민센터에 방문 신청,주민센터,기타,"지원대상
○ 지역사회서비스 : 기준 중위소득 180%이하를 원칙 적용하되 서비스별 상이 ( 본인부담금 10% 이상 )

○ 가사간병 : 만 65세 미만자 중 차상위계층, 생계의료주거교육급여 수급자 등","지원내용
○ 지역사회서비스 : 아동,노인,장애인 신체건강관리, 아동역량개발 등 바우처 서비스",복지정책과 ( ☎033-249-2419 ),nan,"임신/출산/육아,고령자,취약계층","이용권,서비스","(1) 지역사회서비스 : 기준 중위소득 180%이하를 원칙 적용하되 서비스별 상이 ( 본인부담금 10% 이상 )
(2) 가사간병 : 만 65세 미만자 중 차상위계층, 생계의료주거교육급여 수급자 등","(1) 지역사회서비스 : 기준 중위소득 180%이하를 원칙 적용하되 서비스별 상이 ( 본인부담금 10% 이상 )
(2) 가사간병 : 만 65세 미만자 중 차상위계층, 생계의료주거교육급여 수급자 등","(1) 지역사회서비스 : 아동,노인,장애인 신체건강관리, 아동역량개발 등 바우처 서비스","(1) 지역사회서비스 : 아동,노인,장애인 신체건강관리, 아동역량개발 등 바우처 서비스","[[0, 64]]",1.0,"지역사회서비스는 중위소득 180% 이하의 대상을 원칙으로 하되, 서비스별로 지원 대상이 상이하며 본인부담금은 10% 이상입니다. 가사간병은 만 65세 미만의 차상위계층, 생계의료주거교육급여 수급자 등에게 제공되며, 지역사회서비스는 아동, 노인, 장애인의 신체건강관리, 아동역량개발 등을 위한"
